Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-597.90625	91.548065	-496.45395	-744.398	1000.0	-0.010949519	0.6607028	1.6620076	-1.7902904	4000	-7.450581e-09	3229.2217	-0.04614845	-975.47284	5.5512114	0.00039538136	0.4685	79.0	0.9417948722839355
1	-595.5718	96.63138	-445.96988	-715.0122	1000.0	-11.024662	3.6980226	5.4965377	-14.279582	8000	0.0	2528.6592	-0.047421128	-828.21606	5.440698	0.0043366025	0.47974998	79.0	1.5625357627868652
2	-609.5449	182.4173	-459.82486	-921.7683	1000.0	-21.019033	2.2239501	6.0394363	-21.699167	12000	-2.9802322e-08	1935.3296	-0.04654447	-395.97778	5.425996	0.00031995587	0.47325	79.0	2.204446315765381
3	-462.48026	17.973482	-435.08405	-484.7359	1000.0	-27.264399	1.9193698	14.086201	-27.518927	16000	-1.7695129e-08	437.10864	-0.043624572	-78.28274	5.4182005	0.015108297	0.49075	79.0	2.8237464427948
4	-495.61267	65.866745	-394.96863	-557.4429	1000.0	-30.411085	0.22365388	-24.289587	-30.451159	20000	6.7055225e-08	438.64575	-0.040503725	-55.517002	5.36337	0.007230998	0.4555	79.0	3.423443555831909
5	-423.46295	27.96715	-392.68008	-454.20834	1000.0	-32.914265	0.3815741	-26.433254	-32.979744	24000	-3.7252903e-09	184.32828	-0.04318489	-13.390001	5.3366437	0.017719785	0.47425002	79.0	4.049960374832153
6	-428.05386	38.11938	-373.18073	-466.20712	1000.0	-34.20251	1.4393505	21.925587	-34.305664	28000	0.0	166.64589	-0.04050748	-13.111855	5.346908	0.019286169	0.46425003	79.0	4.676702976226807
7	-487.44333	57.85067	-413.35614	-553.14813	1000.0	-35.31378	0.5733545	-21.158945	-35.44952	32000	2.6077032e-08	442.49854	-0.042783856	-28.329834	5.322298	0.009109899	0.477	79.0	5.281792640686035
8	-526.17175	123.28659	-414.18942	-734.11633	1000.0	-37.276188	0.11888694	-33.82424	-37.309826	36000	-4.4703484e-08	631.2449	-0.043161042	-45.342537	5.2855163	0.010591738	0.477	79.0	5.896742820739746
9	-427.87738	34.077263	-381.1178	-467.09854	1000.0	-39.970867	0.072140224	-38.00929	-39.98607	40000	-5.5879354e-09	223.65106	-0.04263579	-3.2355804	5.3329124	0.011656142	0.47275	79.0	6.528860569000244
