Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-401.68442	67.431435	-323.21524	-488.5167	1000.0	0.12449394	0.21584265	0.7448779	-0.53253907	4000	1.0430813e-07	75.82109	-0.033823147	-47.94217	0.91893864	0.0038560312	0.33824998	79.0	2.4857213497161865
1	-311.4137	63.63893	-232.44534	-388.0121	1000.0	-5.7516837	1.6531675	1.4675459	-8.648899	8000	-2.2351742e-08	27.274363	-0.03392411	-7.272769	0.9119503	0.005712269	0.338	79.0	4.764882802963257
2	-360.95975	56.830627	-277.86447	-433.0882	1000.0	-5.4247875	2.3816557	5.3289833	-9.416062	12000	1.4901161e-08	17.708178	-0.033664495	-3.3300974	0.9084422	0.007179128	0.329	79.0	7.027561902999878
3	-285.55295	45.97191	-235.52989	-353.4441	1000.0	-5.530991	3.0501466	8.595508	-10.753471	16000	3.7252903e-09	18.716719	-0.03482376	-3.0384293	0.904725	0.0058714813	0.345	79.0	9.288516759872437
4	-211.83932	69.87911	-153.07896	-330.71072	1000.0	-4.0455294	3.348399	8.517962	-11.001893	20000	5.5879354e-09	20.273315	-0.036571912	-4.266101	0.9020152	0.006507388	0.348	79.0	11.582096576690674
5	-283.27258	74.024025	-230.08385	-410.059	1000.0	-3.9625533	2.910739	9.561012	-10.831527	24000	-3.7252903e-09	15.493787	-0.036985055	-2.7116551	0.89737093	0.005985924	0.35775	79.0	13.658015251159668
6	-278.3189	71.836815	-189.58041	-387.6827	1000.0	-4.416267	3.2000556	6.926349	-12.132864	28000	7.450581e-09	16.841394	-0.035517856	-2.7420819	0.8950195	0.0070454413	0.35175002	79.0	15.850085973739624
7	-270.0124	63.593666	-166.16089	-333.20856	1000.0	-4.6619887	3.252523	7.1370907	-12.360526	32000	7.450581e-09	15.307069	-0.037112866	-2.3848617	0.8907645	0.007843659	0.352	79.0	18.110132694244385
8	-116.69644	29.007702	-78.16164	-159.58752	1000.0	-3.3757496	2.9550254	9.173915	-12.278387	36000	-2.0489097e-08	12.13731	-0.03618665	-3.4773586	0.8846442	0.005229191	0.34074998	79.0	20.384400129318237
9	-155.74854	49.291508	-84.70331	-207.68852	1000.0	-2.393005	2.5484247	5.6143727	-11.172955	40000	2.7939677e-08	13.12198	-0.03772881	-2.3144245	0.8802619	0.006818289	0.3545	79.0	22.756752252578735
10	-149.61833	70.714836	-92.49372	-267.4418	1000.0	-2.311877	2.856782	8.461763	-12.679583	44000	1.1175871e-08	9.361737	-0.03722655	-1.8030359	0.8746906	0.007974662	0.3495	79.0	25.08444118499756
11	-205.216	74.52403	-90.365425	-286.95624	1000.0	-2.9125347	2.793712	7.97639	-12.519704	48000	-7.450581e-09	13.62122	-0.0369245	-2.4882057	0.8719965	0.006034671	0.36375	79.0	27.376342296600342
