Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-237.34067	44.884697	-167.25179	-289.82022	1000.0	0.031960163	0.20919113	0.6466275	-0.57492054	4000	0.0	585.8888	-0.05469267	-224.40128	0.91893864	0.02050265	0.255	79.0	1.7212800979614258
1	-231.75165	100.07567	-77.65296	-357.73535	1000.0	-7.283065	2.020808	2.4939158	-9.660611	8000	1.4901161e-08	405.95547	-0.058220144	-158.50226	0.91529006	0.02227212	0.2595	79.0	3.3899643421173096
2	-206.86908	35.287865	-178.74182	-265.69177	1000.0	-15.127525	1.7122827	7.824867	-16.283512	12000	2.2351742e-08	259.43036	-0.058409333	-35.84384	0.90314347	0.02101696	0.27775002	79.0	5.084987640380859
3	-270.85257	18.610954	-242.30014	-293.02286	1000.0	-18.282253	2.8138342	6.199799	-19.55163	16000	-1.3038516e-08	189.54819	-0.061079558	-65.19039	0.8991509	0.025048763	0.3	79.0	6.723862171173096
4	-257.61865	26.88618	-224.83447	-287.53143	1000.0	-23.82253	0.64157325	-13.144522	-24.027445	20000	-1.8626451e-09	146.39288	-0.06617742	-13.410412	0.8960082	0.024657968	0.31475002	79.0	8.401458501815796
5	-281.69183	57.961697	-239.41548	-381.1671	1000.0	-23.526306	3.9339736	9.68374	-25.640284	24000	0.0	198.56636	-0.063790746	-35.33322	0.8835969	0.0259229	0.334	79.0	10.088459968566895
6	-230.51314	79.646034	-124.20439	-329.92966	1000.0	-25.821253	5.4554124	21.505058	-28.580814	28000	7.450581e-09	277.6006	-0.066537745	-34.090057	0.8724425	0.020331237	0.32525	79.0	11.894283771514893
7	-262.021	26.6694	-234.5786	-289.91953	1000.0	-23.523214	5.925457	12.025124	-29.369705	32000	-5.5879354e-09	141.73914	-0.06515561	-21.09714	0.8699964	0.02157487	0.32075	79.0	13.583257913589478
8	-219.55368	56.027058	-165.82634	-313.46277	1000.0	-24.109934	3.8943582	-4.60764	-29.880476	36000	7.450581e-09	156.33849	-0.06715294	-20.60741	0.8621325	0.028590595	0.3305	79.0	14.994290113449097
9	-174.83409	24.183222	-136.11601	-201.232	1000.0	-21.99741	3.9563856	-1.7597191	-29.524288	40000	-1.8626451e-08	153.49103	-0.07191618	-61.614876	0.8531077	0.025792686	0.3325	79.0	16.66487979888916
10	-190.518	47.09474	-154.93289	-271.53494	1000.0	-15.608725	6.8780937	7.053458	-29.84451	44000	3.7252903e-09	157.73906	-0.06974988	-43.48687	0.84369093	0.03279731	0.342	79.0	18.29100227355957
11	-213.94221	82.819	-107.21776	-303.87796	1000.0	-23.88668	7.1123605	9.687994	-30.340887	48000	1.1175871e-08	99.594315	-0.0686167	-26.870157	0.8390327	0.036994092	0.35675	79.0	19.964460849761963
12	-148.32843	64.61351	-78.303795	-217.00113	1000.0	-18.07678	7.9842987	6.828021	-32.372272	52000	-2.9802322e-08	167.07404	-0.0704027	-31.939741	0.83068067	0.025648259	0.33675	79.0	21.63898253440857
13	-201.0492	66.762276	-135.87866	-297.6138	1000.0	-17.479181	9.0220175	10.4175625	-33.37066	56000	1.4901161e-08	140.45139	-0.07179566	-37.82466	0.8207529	0.022416297	0.3605	79.0	23.36668610572815
14	-125.667274	55.968052	-51.563515	-203.90045	1000.0	-18.742485	7.8790402	23.025715	-33.842876	60000	7.450581e-09	148.13477	-0.07060765	-45.239967	0.81331545	0.026418729	0.353	79.0	25.080446004867554
15	-112.31439	38.000546	-75.51418	-172.8355	1000.0	-12.688204	5.283821	5.091473	-33.300667	64000	0.0	82.32278	-0.06912577	-9.070454	0.80269897	0.02362589	0.3445	79.0	26.794007301330566
16	-120.718956	59.587997	-36.06883	-183.89195	1000.0	-13.36723	5.2818384	5.3589325	-33.091785	68000	-7.450581e-09	132.7766	-0.07087543	-19.549534	0.79221666	0.026351068	0.34475	79.0	28.48877239227295
17	-83.4102	69.97995	25.64273	-167.82034	1000.0	-12.090455	4.190141	6.3829613	-29.801285	72000	3.7252903e-09	184.55798	-0.07151636	-43.344547	0.7839012	0.027354088	0.3365	79.0	30.076408863067627
18	-84.246994	37.140854	-33.76123	-121.58667	1000.0	-10.199057	6.2772956	21.061659	-28.603456	76000	1.8626451e-08	89.57123	-0.07096435	-17.298351	0.77501345	0.020936433	0.336	79.0	31.583242893218994
19	-93.81525	76.31349	21.76214	-192.6759	1000.0	-7.468127	5.0560575	16.857576	-23.986645	80000	7.450581e-09	147.56593	-0.0715045	-28.932419	0.7661677	0.029171105	0.34324998	79.0	33.28475880622864
20	-116.191505	66.7618	-23.624945	-206.67929	1000.0	-12.6552305	6.717909	15.207299	-31.50332	84000	0.0	102.353874	-0.07661903	-34.063576	0.7644575	0.028727628	0.37025	79.0	35.004786014556885
