,episode_reward_max,episode_reward_min,AverageEpRet,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,TotalEnvInteracts,done,episodes_total,Epoch,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
0,,,,,0,8,4000,0,4000,False,0,1,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-35,1642218815,2.8595218658447266,2.8595218658447266,146006,alfabotek,192.168.1.101,2.8595218658447266,0,1,[],[],4582.953,872.8,0.209,19173961.143,2197.245,1820.462,1.409,4000,4000,4000,4000,35.220000000000006,25.02,0.2000000029802322,4.999999873689376e-05,1069.352,-0.025627099,1069.3745,-0.48604265,0.016301865,8.458021,0.0
1,-256.8090787849597,-504.524273467206,-377.81103363652073,1000.0,8,8,8000,0,8000,False,8,2,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-38,1642218818,2.383662462234497,5.243184328079224,146006,alfabotek,192.168.1.101,5.243184328079224,0,2,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3642.4,1098.177,0.206,19463127.61,2047.042,1954.039,1.472,8000,8000,8000,8000,36.8,23.5,0.1000000014901161,4.999999873689376e-05,225.01834,-0.02576312,225.0419,-0.86379683,0.02239455,8.260928,0.0
2,-256.8090787849597,-504.524273467206,-377.81103363652073,1000.0,0,8,12000,0,12000,False,8,3,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-40,1642218820,2.3744213581085205,7.617605686187744,146006,alfabotek,192.168.1.101,7.617605686187744,0,3,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3224.289,1240.584,0.2,20020544.153,1994.771,2005.243,1.489,12000,12000,12000,12000,33.300000000000004,23.5,0.050000000745058,4.999999873689376e-05,448.06943,-0.036630023,448.10504,-0.91230625,0.019494284,8.184057,0.0
3,-180.5305906056955,-504.524273467206,-366.0534466662826,1000.0,8,8,16000,0,16000,False,16,4,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-42,1642218822,2.384318590164185,10.001924276351929,146006,alfabotek,192.168.1.101,10.001924276351929,0,4,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654, -410.77049589088097, -330.2574394628128, -319.261178692452, -486.8945078487707, -374.200894046742, -351.11516039369894, -381.3366106273034, -180.53059060569547]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3012.043,1328.002,0.197,20280708.371,1972.37,2028.017,1.489,16000,16000,16000,16000,35.225,23.5,0.025000000372529,4.999999873689376e-05,267.1672,-0.032973357,267.1996,-0.87141454,0.022956131,8.072451,0.0
4,-180.5305906056955,-504.524273467206,-366.0534466662826,1000.0,0,8,20000,0,20000,False,16,5,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-45,1642218825,2.3676624298095703,12.3695867061615,146006,alfabotek,192.168.1.101,12.3695867061615,0,5,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654, -410.77049589088097, -330.2574394628128, -319.261178692452, -486.8945078487707, -374.200894046742, -351.11516039369894, -381.3366106273034, -180.53059060569547]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2888.656,1384.727,0.2,20020544.153,1954.565,2046.492,1.586,20000,20000,20000,20000,42.833333333333336,23.5,0.0125000001862645,4.999999873689376e-05,435.6609,-0.037294235,435.6979,-0.92157054,0.020827819,7.9646306,0.0
5,-180.5305906056955,-504.524273467206,-360.7909478127772,1000.0,8,8,24000,0,24000,False,24,6,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-47,1642218827,2.421175479888916,14.790762186050417,146006,alfabotek,192.168.1.101,14.790762186050417,0,6,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654, -410.77049589088097, -330.2574394628128, -319.261178692452, -486.8945078487707, -374.200894046742, -351.11516039369894, -381.3366106273034, -180.53059060569547, -379.4094953678276, -471.97273716804267, -432.2393024530531, -408.75676229622474, -243.70271413758914, -221.9732781444456, -328.2476041627382, -315.82570711620855]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2807.402,1424.805,0.199,20140715.486,1946.952,2054.493,1.561,24000,24000,24000,24000,32.974999999999994,23.5,0.0062500000931322,4.999999873689376e-05,209.02756,-0.031538215,209.05898,-0.8759538,0.02025512,7.7989097,0.0
6,-180.5305906056955,-504.524273467206,-360.7909478127772,1000.0,0,8,28000,0,28000,False,24,7,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-50,1642218830,2.3980050086975098,17.188767194747925,146006,alfabotek,192.168.1.101,17.188767194747925,0,7,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654, -410.77049589088097, -330.2574394628128, -319.261178692452, -486.8945078487707, -374.200894046742, -351.11516039369894, -381.3366106273034, -180.53059060569547, -379.4094953678276, -471.97273716804267, -432.2393024530531, -408.75676229622474, -243.70271413758914, -221.9732781444456, -328.2476041627382, -315.82570711620855]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2752.489,1453.23,0.201,19942352.182,1938.985,2062.935,1.565,28000,28000,28000,28000,38.86666666666667,23.5,0.0031250000465661,4.999999873689376e-05,250.14998,-0.03955313,250.18947,-0.8898595,0.02291567,7.660513,0.0
7,-180.5305906056955,-504.524273467206,-348.347334596447,1000.0,8,8,32000,0,32000,False,32,8,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-52,1642218832,2.405157804489136,19.59392499923706,146006,alfabotek,192.168.1.101,19.59392499923706,0,8,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654, -410.77049589088097, -330.2574394628128, -319.261178692452, -486.8945078487707, -374.200894046742, -351.11516039369894, -381.3366106273034, -180.53059060569547, -379.4094953678276, -471.97273716804267, -432.2393024530531, -408.75676229622474, -243.70271413758914, -221.9732781444456, -328.2476041627382, -315.82570711620855, -317.528325470163, -263.95874205257536, -272.44853509745644, -301.32788000906254, -424.47652659774826, -313.1491628671527, -320.31438380048246, -274.9284036850128]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2708.78,1476.679,0.201,19904749.815,1934.101,2068.144,1.564,32000,32000,32000,32000,34.925,23.5,0.001562500023283,4.999999873689376e-05,295.35645,-0.035373632,295.3918,-0.82344824,0.022669097,7.488168,0.0
8,-180.5305906056955,-504.524273467206,-348.347334596447,1000.0,0,8,36000,0,36000,False,32,9,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-54,1642218834,2.3954825401306152,21.98940753936768,146006,alfabotek,192.168.1.101,21.98940753936768,0,9,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654, -410.77049589088097, -330.2574394628128, -319.261178692452, -486.8945078487707, -374.200894046742, -351.11516039369894, -381.3366106273034, -180.53059060569547, -379.4094953678276, -471.97273716804267, -432.2393024530531, -408.75676229622474, -243.70271413758914, -221.9732781444456, -328.2476041627382, -315.82570711620855, -317.528325470163, -263.95874205257536, -272.44853509745644, -301.32788000906254, -424.47652659774826, -313.1491628671527, -320.31438380048246, -274.9284036850128]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2674.394,1495.666,0.201,19928064.405,1930.613,2071.88,1.539,36000,36000,36000,36000,33.43333333333333,23.5,0.0007812500116415,4.999999873689376e-05,408.21378,-0.040432755,408.25418,-0.9048951,0.022939473,7.4790707,0.0
9,-151.56240129226063,-504.524273467206,-335.6946837064756,1000.0,8,8,40000,0,40000,False,40,10,default,83a7e6c8d4a1401c9628eff9e928c8a0,2022-01-15_04-53-57,1642218837,2.4019153118133545,24.39132285118103,146006,alfabotek,192.168.1.101,24.39132285118103,0,10,"[-393.02689863895426, -330.7648324752461, -340.48975160413886, -282.7001354503759, -454.9154004569386, -256.8090787849597, -504.524273467206, -459.25789821434654, -410.77049589088097, -330.2574394628128, -319.261178692452, -486.8945078487707, -374.200894046742, -351.11516039369894, -381.3366106273034, -180.53059060569547, -379.4094953678276, -471.97273716804267, -432.2393024530531, -408.75676229622474, -243.70271413758914, -221.9732781444456, -328.2476041627382, -315.82570711620855, -317.528325470163, -263.95874205257536, -272.44853509745644, -301.32788000906254, -424.47652659774826, -313.1491628671527, -320.31438380048246, -274.9284036850128, -214.68353328179927, -359.4189812383079, -394.40965485563146, -174.49046033462554, -340.5758005385822, -324.0105035156367, -321.5213061158714, -151.56240129226063]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2648.556,1510.257,0.201,19944384.213,1927.097,2075.661,1.534,40000,40000,40000,40000,38.16666666666666,23.5,0.0003906250058207,4.999999873689376e-05,218.38417,-0.037654907,218.42183,-0.8777485,0.024554554,7.3102775,0.0
