Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-322.80087	43.1545	-271.97366	-378.6067	1000.0	0.080634154	0.24859694	0.7036799	-0.60933644	4000	5.2154064e-08	54.116005	-0.03227799	-31.134321	0.91893864	0.0046396055	0.32999998	79.0	0.604313850402832
1	-300.0515	63.159107	-248.17076	-404.78513	1000.0	-5.264029	1.558795	1.5934452	-8.091737	8000	-7.450581e-09	20.003433	-0.03471791	-4.312357	0.9099528	0.004062497	0.35825002	79.0	1.2047123908996582
2	-276.9925	41.35021	-221.49037	-320.6383	1000.0	-4.7801867	2.0074081	4.1379027	-8.867891	12000	9.313226e-09	12.795708	-0.033420853	-2.185217	0.90712744	0.006115067	0.32475	79.0	1.843214750289917
3	-323.9605	54.76913	-230.1818	-368.6206	1000.0	-4.889549	2.0860202	5.148045	-9.248895	16000	9.313226e-09	18.990028	-0.035527423	-5.6181674	0.9037625	0.0074020484	0.3515	79.0	2.498483180999756
4	-322.27298	75.53271	-248.7424	-441.28778	1000.0	-5.3781104	3.5748684	8.101077	-11.933724	20000	-1.1175871e-08	15.677442	-0.03466022	-2.6058805	0.8991391	0.0072965682	0.342	79.0	3.097491502761841
5	-208.32588	48.45196	-126.26426	-249.78902	1000.0	-4.429462	3.2734025	10.238169	-12.015866	24000	9.313226e-09	15.355965	-0.036677763	-4.82231	0.8957272	0.0074204253	0.36949998	79.0	3.6939966678619385
6	-230.85207	75.65895	-139.40756	-317.59586	1000.0	-3.2582054	3.7588637	9.291632	-11.952201	28000	0.0	16.42281	-0.03571841	-3.1872077	0.8886079	0.0048773238	0.355	79.0	4.291790008544922
7	-218.92001	73.15818	-144.53233	-325.44458	1000.0	-3.6161358	3.3119433	9.858846	-13.518697	32000	-7.450581e-09	12.314906	-0.036223724	-2.339324	0.8852405	0.008647948	0.36124998	79.0	4.888565301895142
8	-174.61345	40.391552	-131.80867	-222.47179	1000.0	-3.8459291	2.4205606	8.49925	-11.313889	36000	-2.7939677e-09	11.150048	-0.036220863	-2.7280068	0.8814263	0.0060447166	0.374	79.0	5.488203287124634
9	-214.4515	54.23028	-152.07101	-286.47867	1000.0	-3.0333502	3.1187506	9.353651	-13.63736	40000	-1.3038516e-08	11.532028	-0.037066504	-2.8450084	0.87608844	0.0037744022	0.38325	79.0	6.085225343704224
10	-153.87909	59.073734	-78.95036	-239.52951	1000.0	-2.9465747	3.182052	9.882396	-13.159521	44000	0.0	11.378529	-0.0365631	-2.5933423	0.8713297	0.0074398126	0.3625	79.0	6.681211709976196
11	-172.30707	46.35888	-104.11759	-227.94783	1000.0	-3.1304734	3.0203202	9.109284	-11.708877	48000	-1.8626451e-08	9.105875	-0.036525935	-1.9513665	0.86597747	0.0071224766	0.38975	79.0	7.27789044380188
12	-185.98924	33.198475	-133.85867	-224.73274	1000.0	-3.2511759	2.8236065	9.521496	-12.19598	52000	-3.7252903e-09	8.655717	-0.036708802	-1.834459	0.8600675	0.0061733406	0.3675	79.0	7.897220849990845
13	-171.12802	19.163847	-150.12726	-196.276	1000.0	-2.5329304	3.4628003	10.007778	-14.561493	56000	-1.9557774e-08	10.83716	-0.0384668	-2.4062624	0.85576415	0.0050280653	0.38225	79.0	8.528433799743652
14	-135.10007	30.432238	-97.78795	-167.67992	1000.0	-2.9423954	2.8529778	8.472808	-13.37706	60000	0.0	12.707655	-0.038240883	-3.2206564	0.85146743	0.0031846147	0.38125	79.0	9.159582138061523
15	-149.70618	92.024445	-24.519133	-284.27402	1000.0	-2.4553201	3.3357143	10.9734	-14.457407	64000	1.8626451e-09	10.701003	-0.03646891	-2.1109595	0.8459228	0.005631529	0.3665	79.0	9.762540578842163
16	-145.25703	60.031025	-46.753376	-207.54494	1000.0	-2.48752	2.6612647	8.698889	-14.822509	68000	7.450581e-09	8.010268	-0.03795622	-2.10843	0.8439629	0.00840175	0.37475	79.0	10.366505861282349
17	-201.46011	24.73628	-167.85405	-228.41658	1000.0	-3.5495243	1.9424874	12.67783	-11.757943	72000	-3.7252903e-09	4.2472544	-0.038059093	-1.0489688	0.83919746	0.0086210165	0.39575	79.0	10.971136808395386
18	-178.31027	19.996565	-143.74117	-191.72269	1000.0	-2.2545044	2.8436508	12.143505	-11.176775	76000	1.4901161e-08	8.153555	-0.037588082	-2.477059	0.83309406	0.0064637354	0.39749998	79.0	11.577019691467285
