,episode_reward_max,episode_reward_min,AverageEpRet,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,TotalEnvInteracts,done,episodes_total,Epoch,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
0,,,,,0,8,4000,0,4000,False,0,1,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-34-58,1642185298,2.636453628540039,2.636453628540039,172759,alfabotek,192.168.1.101,2.636453628540039,0,1,[],[],4646.194,860.92,0.19,21103416.352,2086.715,1916.889,1.528,4000,4000,4000,4000,27.375,24.875,0.2000000029802322,4.999999873689376e-05,23.977692,-0.025832022,24.001303,0.0061392416,0.011119931,8.478414,0.0
1,-296.95277722359555,-433.58322986483046,-374.8570901652703,1000.0,8,8,8000,0,8000,False,8,2,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-01,1642185301,2.3701303005218506,5.00658392906189,172759,alfabotek,192.168.1.101,5.00658392906189,0,2,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3646.158,1097.045,0.257,15592208.178,1957.584,2043.335,1.461,8000,8000,8000,8000,35.974999999999994,23.0,0.1000000014901161,4.999999873689376e-05,6.5313077,-0.0212593,6.551427,-0.21322635,0.011398512,8.417998,0.0
2,-296.95277722359555,-433.58322986483046,-374.8570901652703,1000.0,0,8,12000,0,12000,False,8,3,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-03,1642185303,2.339576244354248,7.346160173416138,172759,alfabotek,192.168.1.101,7.346160173416138,0,3,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3209.629,1246.25,0.258,15500969.51,1917.776,2085.75,1.452,12000,12000,12000,12000,35.86666666666667,23.0,0.050000000745058,4.999999873689376e-05,14.405062,-0.031012999,14.4353895,-0.12858374,0.013701162,8.3630495,0.0
3,-275.036958603942,-434.94028102451045,-367.1864112513632,1000.0,8,8,16000,0,16000,False,16,4,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-05,1642185305,2.3445346355438232,9.69069480895996,172759,alfabotek,192.168.1.101,9.69069480895996,0,4,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717, -331.06526928550096, -434.94028102451045, -335.1482210191296, -433.1704667144287, -338.79288098049636, -432.4256576661063, -275.036958603942, -295.54612340553456]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2990.833,1337.42,0.241,16627567.889,1901.971,2103.081,1.453,16000,16000,16000,16000,43.23333333333333,23.0,0.025000000372529,4.999999873689376e-05,6.354971,-0.03638587,6.390901,-0.22926082,0.018223464,8.219091,0.0
4,-275.036958603942,-434.94028102451045,-367.1864112513632,1000.0,0,8,20000,0,20000,False,16,5,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-08,1642185308,2.343592643737793,12.034287452697754,172759,alfabotek,192.168.1.101,12.034287452697754,0,5,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717, -331.06526928550096, -434.94028102451045, -335.1482210191296, -433.1704667144287, -338.79288098049636, -432.4256576661063, -275.036958603942, -295.54612340553456]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2863.518,1396.883,0.234,17123102.674,1891.705,2114.495,1.437,20000,20000,20000,20000,29.45,23.0,0.0125000001862645,4.999999873689376e-05,12.919415,-0.042010315,12.961259,-0.06278985,0.013405264,8.254064,0.0
5,-269.3442947885927,-434.94028102451045,-360.6855863909718,1000.0,8,8,24000,0,24000,False,24,6,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-10,1642185310,2.375610589981079,14.409898042678831,172759,alfabotek,192.168.1.101,14.409898042678831,0,6,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717, -331.06526928550096, -434.94028102451045, -335.1482210191296, -433.1704667144287, -338.79288098049636, -432.4256576661063, -275.036958603942, -295.54612340553456, -280.81739196366163, -398.6012492975117, -353.70401383552354, -384.8972925927243, -289.08359700618524, -269.3442947885927, -382.01637938570474, -423.00727449160723]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2777.639,1440.072,0.227,17654032.971,1890.278,2116.091,1.511,24000,24000,24000,24000,41.0,23.0,0.0062500000931322,4.999999873689376e-05,6.0977907,-0.039003693,6.1366825,-0.27087206,0.017862907,8.100266,0.0
6,-269.3442947885927,-434.94028102451045,-360.6855863909718,1000.0,0,8,28000,0,28000,False,24,7,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-12,1642185312,2.3679728507995605,16.777870893478394,172759,alfabotek,192.168.1.101,16.777870893478394,0,7,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717, -331.06526928550096, -434.94028102451045, -335.1482210191296, -433.1704667144287, -338.79288098049636, -432.4256576661063, -275.036958603942, -295.54612340553456, -280.81739196366163, -398.6012492975117, -353.70401383552354, -384.8972925927243, -289.08359700618524, -269.3442947885927, -382.01637938570474, -423.00727449160723]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2721.216,1469.931,0.221,18103979.035,1888.18,2118.442,1.505,28000,28000,28000,28000,41.06666666666666,23.0,0.0031250000465661,4.999999873689376e-05,10.499187,-0.030264165,10.529402,-0.15684405,0.015937079,8.16925,0.0
7,-269.3442947885927,-448.76876182197606,-362.9632464587364,1000.0,8,8,32000,0,32000,False,32,8,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-15,1642185315,2.362637519836426,19.14050841331482,172759,alfabotek,192.168.1.101,19.14050841331482,0,8,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717, -331.06526928550096, -434.94028102451045, -335.1482210191296, -433.1704667144287, -338.79288098049636, -432.4256576661063, -275.036958603942, -295.54612340553456, -280.81739196366163, -398.6012492975117, -353.70401383552354, -384.8972925927243, -289.08359700618524, -269.3442947885927, -382.01637938570474, -423.00727449160723, -448.76876182197606, -295.6004814679165, -417.08765360721424, -361.1790705917923, -349.5101028424319, -310.4131246852549, -431.76639018013685, -344.0442280995185]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2676.76,1494.344,0.217,18393549.13,1887.09,2119.666,1.477,32000,32000,32000,32000,32.325,23.0,0.001562500023283,4.999999873689376e-05,5.2115836,-0.036501624,5.248054,-0.2009989,0.02002119,7.9724216,0.0
8,-269.3442947885927,-448.76876182197606,-362.9632464587364,1000.0,0,8,36000,0,36000,False,32,9,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-17,1642185317,2.371570348739624,21.512078762054443,172759,alfabotek,192.168.1.101,21.512078762054443,0,9,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717, -331.06526928550096, -434.94028102451045, -335.1482210191296, -433.1704667144287, -338.79288098049636, -432.4256576661063, -275.036958603942, -295.54612340553456, -280.81739196366163, -398.6012492975117, -353.70401383552354, -384.8972925927243, -289.08359700618524, -269.3442947885927, -382.01637938570474, -423.00727449160723, -448.76876182197606, -295.6004814679165, -417.08765360721424, -361.1790705917923, -349.5101028424319, -310.4131246852549, -431.76639018013685, -344.0442280995185]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2643.951,1512.888,0.215,18600017.738,1885.912,2120.99,1.469,36000,36000,36000,36000,41.63333333333333,23.0,0.0007812500116415,4.999999873689376e-05,7.6147323,-0.038728967,7.653447,-0.13265707,0.017643921,7.989986,0.0
9,-254.8374000640662,-448.76876182197606,-349.83042740578514,1000.0,8,8,40000,0,40000,False,40,10,default,3aa4ddd8aa78424598555bd85d24be1e,2022-01-14_19-35-20,1642185320,2.3596270084381104,23.871705770492557,172759,alfabotek,192.168.1.101,23.871705770492557,0,10,"[-433.58322986483046, -360.0688698774238, -416.21388333761377, -296.95277722359555, -419.32528309456495, -400.8378379695891, -298.25674115257317, -373.6180988019717, -331.06526928550096, -434.94028102451045, -335.1482210191296, -433.1704667144287, -338.79288098049636, -432.4256576661063, -275.036958603942, -295.54612340553456, -280.81739196366163, -398.6012492975117, -353.70401383552354, -384.8972925927243, -289.08359700618524, -269.3442947885927, -382.01637938570474, -423.00727449160723, -448.76876182197606, -295.6004814679165, -417.08765360721424, -361.1790705917923, -349.5101028424319, -310.4131246852549, -431.76639018013685, -344.0442280995185, -299.015925256528, -300.3722400445488, -321.42490293516965, -295.2098290739115, -286.8181697219781, -301.955248696771, -254.8374000640662, -318.75949375886734]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2616.615,1528.692,0.214,18660011.122,1884.482,2122.599,1.459,40000,40000,40000,40000,34.55,23.0,0.0003906250058207,4.999999873689376e-05,2.9433515,-0.039370876,2.982716,0.0007398974,0.016347881,7.627125,0.0
