Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-791.55426	100.212074	-671.3235	-939.44653	1000.0	-0.015952282	1.3067458	3.071381	-3.14088	4000	3.3527613e-08	74.073906	-0.02004845	-51.784843	5.4857206	0.023412826	0.10825	2.0	1.8906655311584473
1	-672.91895	135.48926	-486.35562	-843.2864	1000.0	-3.2344365	3.1622674	8.965775	-11.999224	8000	7.450581e-09	24.895344	-0.019872393	-15.159466	5.5177717	0.02952382	0.195	4.0	3.3640599250793457
2	-496.8244	63.527496	-403.69855	-559.6566	1000.0	-5.267559	3.6045625	7.8839345	-13.866777	12000	-2.0489097e-08	13.42576	-0.01952567	-4.0474734	5.4571013	0.026822135	0.149	4.0	4.830992937088013
3	-507.8036	94.45206	-359.64572	-610.14185	1000.0	-4.1196823	3.1891253	7.3987765	-13.277676	16000	-1.4901161e-08	13.318166	-0.023891225	-5.3843493	5.521415	0.024128731	0.22925	6.0	6.320410251617432
4	-347.9599	26.819485	-330.54962	-394.22592	1000.0	-3.8266625	3.04839	6.6466637	-12.380711	20000	-3.585592e-08	9.464247	-0.017464764	-2.5163746	5.48501	0.023944624	0.146	4.0	7.77685546875
5	-455.32816	218.77179	-222.45103	-713.3543	1000.0	-3.7912252	3.645882	8.799695	-12.114178	24000	0.0	11.572451	-0.020283436	-4.2767553	5.453077	0.024210444	0.22749999	6.0	9.24944257736206
6	-289.85873	149.22719	-72.64126	-494.28116	1000.0	-3.432759	3.6318424	9.211294	-12.195757	28000	0.0	8.794184	-0.02103888	-2.245556	5.473388	0.026432376	0.18475	6.0	10.740871906280518
7	-336.66364	179.27629	-100.322525	-569.8343	1000.0	-2.8698163	3.7382607	10.779903	-13.553755	32000	-1.1175871e-08	7.3915043	-0.018597368	-1.2067868	5.485537	0.025861608	0.15875	5.0	12.23665165901184
8	-287.78836	117.56666	-101.241714	-403.1503	1000.0	-3.0717022	3.526682	9.658458	-12.241432	36000	-1.4901161e-08	6.8562994	-0.018643528	-1.369318	5.4300213	0.026125066	0.12225	4.0	13.719400405883789
9	-248.81343	110.36595	-148.58882	-435.03806	1000.0	-2.6868858	3.5306063	9.645458	-12.878636	40000	7.450581e-09	6.454092	-0.013040207	-1.1943861	5.4146476	0.024975546	0.177	5.0	15.215399980545044
10	-386.39734	114.9414	-209.49934	-531.47174	1000.0	-3.3647382	2.882889	7.5995955	-11.934282	44000	-1.8626451e-08	5.3647585	-0.023885068	-0.9776443	5.461467	0.026448904	0.1715	5.0	16.848215103149414
11	-327.33487	38.71154	-261.95645	-362.92102	1000.0	-3.5865986	2.3000808	6.6328926	-12.359862	48000	-4.0978193e-08	4.9086585	-0.017091297	-1.118977	5.4545507	0.029681996	0.19675	5.0	18.356963634490967
12	-233.56586	45.311447	-204.70099	-311.99194	1000.0	-2.0986874	2.8811166	9.578733	-12.660006	52000	3.7252903e-09	5.572047	-0.020578746	-0.9544577	5.418034	0.026038498	0.17375	6.0	19.877094268798828
13	-216.22385	45.81091	-171.4866	-288.1959	1000.0	-2.5801182	2.5811963	7.687721	-11.931516	56000	1.21071935e-08	4.6450586	-0.017078113	-1.1500368	5.3897333	0.021311045	0.12900001	5.0	21.343921184539795
