Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-270.01727	19.009367	-244.58794	-296.16074	1000.0	-0.057139203	0.20083886	0.53632015	-0.6335168	4000	-7.450581e-09	40.85762	-0.052417483	-21.907425	0.91893864	0.015081973	0.23825	64.0	0.5743153095245361
1	-289.1986	100.89581	-181.4635	-400.65332	1000.0	-4.518856	1.4955324	1.658228	-8.025984	8000	1.1175871e-08	28.570475	-0.058959436	-9.201912	0.9121731	0.013283465	0.27975	79.0	1.1839709281921387
2	-215.22787	70.22734	-151.24646	-329.8515	1000.0	-4.1289196	3.4629283	8.487474	-10.712961	12000	3.7252903e-09	21.422153	-0.03910914	-3.7823758	0.89841896	0.015213368	0.1745	32.0	1.7300519943237305
3	-248.71579	41.16711	-207.17416	-312.26337	1000.0	-3.6580858	3.4621382	7.4279933	-11.64037	16000	3.7252903e-09	17.89798	-0.05619505	-5.313036	0.89179426	0.0150154	0.24825001	57.0	2.3423235416412354
4	-125.98155	77.64205	6.4996295	-186.95549	1000.0	-3.2147558	3.2767656	10.03855	-12.014226	20000	-1.1175871e-08	15.035433	-0.04946101	-3.661454	0.8832525	0.0150590595	0.22925	45.0	2.8696882724761963
5	-212.25668	77.16624	-94.51334	-296.08932	1000.0	-2.975846	2.9822104	8.155245	-12.101301	24000	1.4901161e-08	13.498579	-0.012078401	-2.4205003	0.8738566	0.015452584	0.17925	7.0	3.3210415840148926
6	-143.93867	74.98262	-53.235836	-219.80075	1000.0	-2.5358639	3.517149	9.084034	-13.352128	28000	-2.2351742e-08	13.130878	-0.009028584	-2.4474244	0.8723653	0.01710879	0.1935	6.0	3.7733936309814453
7	-157.58122	58.825474	-95.79598	-244.39415	1000.0	-2.5922632	3.112236	8.107392	-13.094998	32000	0.0	13.281809	-0.046129074	-2.2507496	0.8707255	0.015125856	0.22475001	32.0	4.276761054992676
8	-111.868355	27.913887	-83.16545	-157.69882	1000.0	-2.1676273	3.2450094	10.785241	-11.525217	36000	4.656613e-09	13.279384	-0.013356956	-2.5115955	0.8600844	0.016501445	0.225	7.0	4.731223106384277
9	-163.58846	29.015762	-116.78435	-192.52876	1000.0	-2.2588131	3.1540132	8.880961	-13.709392	40000	1.1175871e-08	11.74086	-0.011392118	-2.0999007	0.857693	0.016424518	0.18075001	7.0	5.184940338134766
10	-156.41199	64.2364	-49.80493	-218.59468	1000.0	-3.0320337	3.2910435	11.049426	-13.621209	44000	-1.4901161e-08	10.657608	-0.009594674	-1.8554513	0.8548016	0.016963523	0.20674999	6.0	5.637260437011719
11	-105.51761	62.85738	-19.24123	-173.40776	1000.0	-2.5916378	2.9300048	9.057691	-13.45136	48000	-1.8626451e-09	9.604736	-0.009911792	-2.467509	0.8522181	0.015407203	0.1645	6.0	6.096417665481567
12	-145.93832	98.891464	-25.628008	-262.63577	1000.0	-2.2283483	3.090293	11.600072	-10.488225	52000	-1.9557774e-08	8.490369	-0.0533206	-1.5847629	0.8497482	0.015142791	0.2565	50.0	6.639753341674805
13	-80.94691	57.05987	-31.288002	-176.61536	1000.0	-1.0483818	3.0488446	10.433116	-12.973881	56000	-1.1175871e-08	10.390352	-0.054903008	-2.5725517	0.836969	0.015018249	0.25975	68.0	7.217890977859497
14	-119.91243	49.926735	-58.38363	-177.03279	1000.0	-1.6920279	3.2056696	10.220192	-15.723238	60000	1.8626451e-09	13.715561	-0.05238358	-3.1649635	0.8284466	0.015004651	0.255	47.0	7.754756689071655
15	-140.30237	49.155285	-73.31506	-194.03246	1000.0	-3.4439957	4.2103634	10.402056	-17.20511	64000	2.9802322e-08	16.098719	-0.051439904	-7.623197	0.8195609	0.015258988	0.2255	37.0	8.272770881652832
16	-84.182144	20.915352	-61.88374	-107.74924	1000.0	-1.8034034	3.0136352	8.477482	-14.004425	68000	1.4901161e-08	10.378197	-0.011495751	-2.4079666	0.8103845	0.0156207215	0.19525	6.0	8.730173110961914
17	-87.337524	32.962433	-39.858448	-129.00835	1000.0	-1.4177184	2.826537	11.288512	-14.56967	72000	1.8626451e-08	10.710123	-0.042421833	-2.4782653	0.8093339	0.015103892	0.1805	30.0	9.234970092773438
18	2.1326237	39.1155	60.486023	-46.469948	1000.0	-0.7991018	3.1168106	12.569268	-13.667807	76000	-2.2351742e-08	8.773536	-0.010967271	-2.9053197	0.80255306	0.015766192	0.1745	7.0	9.690147876739502
19	-136.38205	80.52919	-76.29209	-273.17645	1000.0	-2.3445513	3.4435277	11.041623	-13.733365	80000	1.4901161e-08	8.573273	-0.013306964	-2.3957682	0.80130357	0.01514431	0.2035	8.0	10.146500587463379
20	-185.61012	106.51532	-3.3857408	-272.34933	1000.0	-3.2643957	3.0024686	9.599552	-13.878835	84000	1.1641532e-08	7.6214733	-0.05321465	-1.580862	0.7992286	0.01507294	0.25925	42.0	10.670933961868286
21	-80.83182	37.49792	-50.456608	-144.56715	1000.0	-1.1474416	3.1919305	11.711046	-11.625541	88000	-2.7939677e-09	9.9776745	-0.06428832	-2.4280405	0.7908359	0.01500487	0.29975	76.0	11.262876510620117
22	-54.86448	132.38823	85.00704	-268.24792	1000.0	-1.413937	3.0543542	6.850128	-10.465699	92000	0.0	7.139292	-0.012640197	-1.892665	0.77565074	0.016565058	0.24375	6.0	11.716824054718018
23	-20.374237	114.27069	85.793755	-211.2431	1000.0	-0.6862785	3.6304154	11.260223	-11.558952	96000	-5.5879354e-09	11.331886	-0.06360142	-3.1606524	0.77445376	0.0150881205	0.31425	76.0	12.311894416809082
24	-55.07764	80.04993	20.908756	-176.41316	1000.0	-1.2702788	3.3298323	11.6146555	-14.964519	100000	1.8626451e-08	6.9680552	-0.015113206	-1.7685938	0.76181334	0.016180992	0.24575001	7.0	12.766030311584473
25	45.2688	66.91794	130.8953	-56.402607	1000.0	0.58402807	3.1719704	14.43337	-12.112431	104000	1.1175871e-08	9.278139	-0.01038405	-2.6354966	0.7602859	0.016030733	0.18599999	5.0	13.218843221664429
26	-7.090111	120.744865	109.66616	-180.26402	1000.0	-0.78452617	4.1653385	12.792908	-11.624598	108000	-7.916242e-09	10.179653	-0.04889614	-3.5544882	0.75884545	0.015229948	0.23550001	37.0	13.737942934036255
27	34.130917	146.21048	169.6329	-212.68549	1000.0	0.6352336	3.4931874	11.5042925	-12.813773	112000	9.313226e-10	8.550219	-0.04981435	-2.654522	0.75296867	0.015207298	0.23425	37.0	14.2582848072052
28	-143.9751	63.752563	-63.998882	-239.17635	1000.0	-2.726974	3.9237337	12.986853	-21.692335	116000	0.0	11.137324	-0.0135615505	-3.2350085	0.7459574	0.016048271	0.23225	6.0	14.723443031311035
29	-11.62367	11.7013445	4.114423	-25.558025	1000.0	-0.7039399	3.5999236	10.804456	-12.207344	120000	-1.8626451e-09	9.099102	-0.009749028	-3.2491512	0.74497104	0.015495744	0.19325	5.0	15.187666654586792
30	-118.22981	99.65089	38.528316	-233.27003	1000.0	-1.6267822	3.3666859	12.271078	-12.726193	124000	-1.21071935e-08	8.063024	-0.008687732	-2.2848554	0.74331427	0.016060954	0.21675	5.0	15.656892538070679
31	-10.792852	74.64003	69.70006	-128.85597	1000.0	-0.2679684	4.211205	19.404846	-18.052792	128000	1.6763806e-08	14.801025	-0.06697512	-4.8707495	0.7414145	0.015099284	0.30900002	72.0	16.251570224761963
32	105.78119	88.824196	218.489	16.112848	1000.0	0.9526486	4.264956	13.717818	-15.615516	132000	-3.7252903e-09	11.413949	-0.057824694	-3.92601	0.7302974	0.015088795	0.28	50.0	16.7899010181427
33	7.2459297	120.00771	185.1969	-126.161514	1000.0	0.6161122	3.7495933	16.391912	-12.105783	136000	-1.3038516e-08	10.393925	-0.012621378	-2.8592682	0.71797585	0.020310288	0.2415	5.0	17.233503580093384
34	59.99372	85.50131	199.1528	-34.064034	1000.0	1.0638491	3.8197024	14.41424	-13.535259	140000	-3.7252903e-09	12.117279	-0.008686038	-3.4038749	0.71748424	0.017067764	0.26	5.0	17.68257999420166
35	-6.8074474	76.09332	118.5096	-70.463066	1000.0	0.05997751	3.8777444	15.759719	-17.360254	144000	0.0	11.567614	-0.033712596	-3.3579082	0.7166742	0.015202749	0.1815	19.0	18.171428203582764
36	87.04376	92.92453	216.42107	-40.606503	1000.0	0.8085023	3.7596502	15.819729	-13.656189	148000	-3.7252903e-09	7.36477	-0.011944873	-2.6670437	0.71100634	0.015612127	0.19549999	6.0	18.62505531311035
37	-1.5213051	170.99068	201.1717	-181.45659	1000.0	-0.2789317	3.8759594	15.702128	-10.228711	152000	1.3969839e-08	7.591902	-0.012812253	-2.3014302	0.70918155	0.017033456	0.29525	6.0	19.076995849609375
38	87.10624	115.905556	232.18494	-84.61524	1000.0	1.7832996	4.501277	13.523755	-15.463814	156000	-3.7252903e-09	12.121138	-0.0136559475	-3.9533029	0.7076269	0.0152638815	0.24625	7.0	19.561386823654175
39	57.534992	34.74981	96.53287	4.3675346	1000.0	1.178648	4.5075574	12.736766	-16.698378	160000	4.1909516e-09	12.003021	-0.01120713	-3.7647653	0.7054525	0.015216827	0.14025	4.0	20.034322023391724
40	39.499657	112.13477	211.08754	-100.64692	1000.0	0.26074702	4.149281	14.887636	-8.7546835	164000	-7.450581e-09	9.50556	-0.010927426	-3.1406994	0.7038864	0.015862629	0.21399999	6.0	20.510259866714478
41	-91.00712	46.53493	-16.132175	-142.48897	1000.0	-1.8951875	3.5129914	19.429708	-8.454543	168000	1.8626451e-09	5.3293924	-0.011270792	-1.6543653	0.701222	0.017874163	0.207	5.0	20.989625930786133
42	35.496513	51.601013	120.9103	-8.696252	1000.0	0.5569187	4.1609864	13.615502	-8.990051	172000	5.5879354e-09	7.7038794	-0.010482246	-2.460003	0.69874644	0.016183734	0.2545	6.0	21.45859956741333
43	61.849483	179.24431	328.18338	-112.4775	1000.0	0.8583376	4.1279087	14.25782	-14.089436	176000	1.4901161e-08	8.646486	-0.010506425	-2.9207184	0.69605756	0.018788785	0.19625	5.0	21.91922903060913
