Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-577.82855	46.575912	-524.9599	-648.1666	1000.0	-0.03713024	1.3057789	3.0249128	-3.205482	4000	-1.3411045e-07	3046.4302	-0.020923927	-512.9104	5.4857206	0.01603524	0.1705	3.0	0.7747781276702881
1	-635.933	93.269714	-498.63037	-754.79895	1000.0	-3.8889463	4.8436546	11.951888	-14.463183	8000	-2.0489097e-08	3529.4563	-0.05362638	-1795.2411	5.5156355	0.015708957	0.25225002	28.0	1.2819805145263672
2	-673.10254	113.01207	-566.187	-848.0416	1000.0	-24.306303	1.6171288	-3.7297955	-25.580141	12000	4.4703484e-08	2006.0752	-0.04482362	-544.67926	5.448556	0.015697766	0.22825	20.0	1.760425090789795
3	-544.2245	66.78276	-477.24448	-655.3531	1000.0	-32.406826	0.39114648	-25.346777	-32.772713	16000	6.3329935e-08	662.1083	-0.048185907	-93.56123	5.513474	0.017011236	0.2355	25.0	2.220460891723633
4	-533.0365	100.845146	-431.05487	-700.7264	1000.0	-35.834225	0.21591984	-32.987305	-36.038567	20000	-2.6077032e-08	782.6305	-0.051127963	-64.75087	5.464746	0.015272925	0.26125	25.0	2.6880440711975098
5	-518.5398	38.06459	-458.13828	-557.24	1000.0	-38.6266	0.22801687	-35.09966	-38.811676	24000	1.3038516e-08	452.49652	-0.046785723	-20.877998	5.4051104	0.016663998	0.239	23.0	3.159996271133423
6	-412.70953	88.662224	-293.15222	-532.9253	1000.0	-39.92058	1.5495477	-1.4189767	-40.48944	28000	1.4901161e-08	521.8673	-0.04923458	-32.052353	5.4216447	0.015520524	0.2585	25.0	3.637932062149048
7	-394.7904	55.009384	-318.0444	-469.90125	1000.0	-37.33171	5.862111	21.06975	-40.598434	32000	-3.3527613e-08	425.67276	-0.021073654	-53.926155	5.415088	0.016289953	0.218	7.0	4.085878610610962
8	-421.09573	68.85059	-309.3337	-497.55466	1000.0	-33.88289	7.171602	11.635087	-40.34714	36000	1.4901161e-08	546.8727	-0.01924585	-100.38019	5.358382	0.017939938	0.224	7.0	4.539051532745361
9	-355.87622	129.86797	-203.72829	-498.26404	1000.0	-32.783318	9.031338	25.678963	-41.481037	40000	-1.4901161e-08	594.4175	-0.01599485	-109.115395	5.3395615	0.020732917	0.22575	5.0	4.973864555358887
10	-423.08575	61.27192	-344.1507	-515.04974	1000.0	-32.14727	9.360646	24.879953	-41.733448	44000	3.7252903e-09	427.33704	-0.013024152	-61.687897	5.388935	0.019595448	0.24375	5.0	5.514849662780762
