Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1434.4768	118.89516	-1238.6002	-1545.6564	1000.0	0.032368112	1.0120087	2.671938	-2.439948	4000	1.0803342e-07	195.13588	-0.043482386	-137.67479	5.4897327	0.0051056775	0.40825	79.0	2.3238635063171387
1	-1465.4891	135.77956	-1346.7124	-1695.6215	1000.0	-6.5378256	3.378156	6.5478244	-13.715811	8000	3.7252903e-09	60.473465	-0.043935817	-49.267258	5.474942	0.009769342	0.41925	79.0	4.1214258670806885
2	-1273.3419	152.17513	-1064.6439	-1425.4489	1000.0	-12.766229	5.1559944	17.12778	-18.20948	12000	1.4901161e-08	27.669453	-0.04389005	-13.908921	5.4677515	0.008068765	0.40425	79.0	5.893308877944946
3	-1201.8828	40.491768	-1145.048	-1251.735	1000.0	-10.179876	4.2812476	11.071534	-16.249216	16000	1.1175871e-08	18.37411	-0.043396935	-7.120308	5.492545	0.0055206465	0.44375	79.0	7.694061994552612
4	-1198.3792	96.62646	-1058.4694	-1331.3888	1000.0	-10.765478	3.4155366	8.689858	-15.838785	20000	1.3038516e-08	10.954055	-0.044151	-1.5970898	5.464355	0.0099435	0.44375	79.0	9.466716766357422
5	-1008.56134	207.70459	-753.0985	-1300.7369	1000.0	-9.822416	3.8500957	7.7959757	-16.222336	24000	-1.1175871e-08	10.878865	-0.04631348	-1.9777083	5.4377017	0.009102434	0.454	79.0	11.250319957733154
6	-1083.2286	79.559845	-962.236	-1163.6061	1000.0	-8.75792	4.4346385	12.442825	-15.942668	28000	-1.4901161e-08	17.276043	-0.044216633	-9.808621	5.353608	0.007817822	0.44550002	79.0	13.010951280593872
7	-966.2027	153.20966	-807.5686	-1120.2739	1000.0	-9.563765	2.8395839	2.8722816	-16.126543	32000	-4.4703484e-08	10.691103	-0.046765048	-2.622353	5.370188	0.008875867	0.45425	79.0	14.801215648651123
8	-815.1478	77.68085	-709.5768	-926.4528	1000.0	-7.744953	3.933814	6.286315	-16.584343	36000	-1.3038516e-08	10.513923	-0.046189025	-1.6448799	5.370036	0.008402558	0.43925	79.0	16.60302448272705
9	-869.46484	177.09349	-638.2318	-1101.6815	1000.0	-7.7503943	3.8921309	8.680317	-15.926137	40000	-7.450581e-09	9.390791	-0.0479246	-1.8828344	5.283904	0.00809592	0.4535	79.0	18.411401510238647
10	-705.375	104.58852	-555.5832	-804.51056	1000.0	-6.224683	3.3348331	7.083474	-15.876561	44000	-7.450581e-09	10.155407	-0.047917046	-3.6239622	5.2743382	0.010895795	0.46375	79.0	20.451887845993042
11	-711.98804	88.15354	-620.15674	-837.7906	1000.0	-6.40007	3.251081	8.497471	-14.847853	48000	3.7252903e-09	7.7087483	-0.047701616	-1.191893	5.2131653	0.007375919	0.46625	79.0	22.220256805419922
12	-807.82715	111.482124	-669.262	-977.6943	1000.0	-7.1058087	3.204335	3.8609507	-15.686197	52000	3.7252903e-09	7.832093	-0.048066698	-1.0572389	5.1832504	0.009589455	0.46775	79.0	23.940160751342773
13	-644.756	105.11643	-523.9212	-767.76337	1000.0	-5.9725995	3.3140645	7.9206395	-15.877214	56000	3.7252903e-08	8.7839985	-0.049009547	-2.0408783	5.2110767	0.01375534	0.49725	79.0	25.69494390487671
14	-637.10767	130.37947	-493.1063	-844.1841	1000.0	-5.793964	3.9600518	10.906874	-16.77486	60000	-1.1175871e-08	7.7004795	-0.04780917	-1.0543423	5.1245255	0.007836799	0.45700002	79.0	27.4644615650177
15	-618.5813	45.57967	-544.0272	-665.3909	1000.0	-5.7948146	2.7828307	3.908359	-15.698657	64000	-1.7695129e-08	6.65466	-0.048307635	-1.0786259	5.0506124	0.010888104	0.47575	79.0	29.24262046813965
16	-545.2609	26.158241	-501.97858	-570.149	1000.0	-5.265302	2.7395911	5.2526083	-15.5056715	68000	3.7252903e-09	6.163842	-0.050057076	-1.0352274	5.071126	0.011917203	0.49725	79.0	31.069820642471313
17	-487.72046	127.832344	-280.71677	-619.88403	1000.0	-4.410137	3.3521764	9.654476	-14.616265	72000	-1.9557774e-08	6.413051	-0.04889154	-1.205449	5.0056024	0.009145008	0.476	79.0	32.89593553543091
18	-513.12134	61.239597	-451.4079	-610.9051	1000.0	-4.598724	2.944558	6.041563	-16.07357	76000	1.4901161e-08	5.8669157	-0.050219934	-1.0051389	5.01546	0.010783492	0.51524997	79.0	34.69503927230835
19	-545.5741	63.499405	-442.29446	-606.1662	1000.0	-4.769258	2.8621922	7.07908	-15.235595	80000	1.3969839e-08	5.212682	-0.049818017	-0.8896525	5.001525	0.010225507	0.48675	79.0	36.4103946685791
20	-398.22488	50.727448	-335.849	-457.82504	1000.0	-3.8989549	3.286557	6.6915126	-14.809263	84000	-1.8626451e-08	6.6581793	-0.048726417	-1.290763	4.89934	0.0050701182	0.48025	79.0	38.46554112434387
21	-427.2705	47.56568	-376.88193	-504.94235	1000.0	-3.7706993	2.9118493	6.85397	-13.831255	88000	-7.450581e-09	5.201892	-0.049920805	-0.99282134	4.868103	0.009861071	0.50025	79.0	40.26011419296265
22	-389.48206	120.622925	-195.89143	-504.37726	1000.0	-3.8251896	2.4425492	5.7790866	-12.234931	92000	-1.4901161e-08	5.159652	-0.04971151	-1.1275808	4.848222	0.010523849	0.49375	79.0	42.08811974525452
23	-399.87018	74.72826	-277.17224	-472.65936	1000.0	-3.4765127	2.7352512	6.60568	-14.473644	96000	-6.519258e-09	4.4916058	-0.04910228	-0.8762669	4.853384	0.009400742	0.489	79.0	43.838340759277344
24	-384.61285	117.361534	-210.17325	-516.1247	1000.0	-3.9147089	2.508599	5.6762238	-13.498835	100000	-2.6077032e-08	4.329979	-0.049249545	-0.8859594	4.7443733	0.0062364624	0.49825	79.0	45.595784425735474
25	-407.7444	31.09962	-367.14954	-453.6008	1000.0	-3.2872827	2.9229476	7.508181	-13.511827	104000	2.2351742e-08	5.5117025	-0.051196333	-1.1297128	4.7064257	0.011530061	0.5085	79.0	47.33256983757019
