Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-654.8291	56.63475	-597.0273	-747.591	1000.0	-0.0051933033	0.5004533	1.515324	-1.5036619	4000	-8.940697e-08	57.463608	-0.048391707	-44.10173	5.5149345	0.005830601	0.45674998	79.0	0.960364818572998
1	-568.2772	183.32274	-261.02527	-738.34076	1000.0	-4.391741	3.2261965	6.695634	-13.773589	8000	2.2351742e-08	14.806231	-0.047936704	-6.0842295	5.4642553	0.009975013	0.459	79.0	1.5697157382965088
2	-556.2335	151.7707	-295.82193	-667.81067	1000.0	-4.9766994	3.6764386	8.52725	-13.534713	12000	1.8626451e-08	10.346054	-0.049056984	-2.3721032	5.436859	0.008301734	0.47074997	79.0	2.2033820152282715
3	-535.8311	84.15415	-408.9938	-642.0023	1000.0	-4.917009	3.4774973	7.7468386	-13.585679	16000	1.1175871e-08	9.141079	-0.047129087	-1.6822492	5.3925004	0.011660828	0.4475	79.0	2.8203155994415283
4	-558.78595	40.02065	-508.53632	-602.57837	1000.0	-4.0564585	4.0114074	11.204279	-12.878979	20000	-1.4901161e-08	15.6719475	-0.046771266	-9.152438	5.4259233	0.007419732	0.47525	79.0	3.4467825889587402
5	-345.42084	85.02853	-230.13573	-468.6325	1000.0	-3.9564102	2.845547	6.66375	-12.127069	24000	-5.5879354e-09	9.259507	-0.04967528	-2.6459956	5.397771	0.010731025	0.466	79.0	4.05008339881897
6	-424.954	144.28131	-278.98978	-585.1735	1000.0	-3.558187	2.5527747	6.85456	-11.097283	28000	-7.450581e-09	5.6278286	-0.050340667	-1.445991	5.330029	0.01337022	0.5035	79.0	4.689598560333252
7	-378.83258	77.6415	-253.2998	-461.49792	1000.0	-3.0453892	3.0067513	6.352387	-13.666328	32000	1.8626451e-08	8.366815	-0.047667507	-1.6126047	5.276762	0.012446292	0.45000002	79.0	5.327139139175415
8	-345.97217	92.99575	-252.29488	-485.34927	1000.0	-3.2665992	3.3734906	8.85687	-13.38523	36000	-1.1175871e-08	6.911241	-0.048034087	-1.020238	5.229895	0.00990901	0.4615	79.0	5.939554691314697
9	-365.89328	78.54092	-247.91534	-450.24615	1000.0	-3.381563	3.3395338	11.269972	-13.298151	40000	-1.3038516e-08	6.639154	-0.050381977	-1.5118971	5.224157	0.011316909	0.48925	79.0	6.585829019546509
