,episode_reward_max,episode_reward_min,AverageEpRet,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,TotalEnvInteracts,done,episodes_total,Epoch,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
0,,,,,0,8,4000,0,4000,False,0,1,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-28,1642158328,2.707138061523437,2.707138061523437,172759,alfabotek,192.168.1.101,2.707138061523437,0,1,[],[],4949.58,808.149,0.331,12096046.143,2021.229,1978.994,1.53,4000,4000,4000,4000,36.15,24.4,0.2000000029802322,4.999999873689376e-05,55.88661,-0.01300006,55.899136,-0.008904111,0.0023706132,8.497728,0.0
1,-223.5548832242182,-589.9964323056998,-346.27352964159275,1000.0,8,8,8000,0,8000,False,8,2,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-30,1642158330,2.5268170833587646,5.233955144882202,172759,alfabotek,192.168.1.101,5.233955144882202,0,2,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3835.827,1042.8,0.268,14932991.544,1931.643,2070.776,1.492,8000,8000,8000,8000,38.775,22.5,0.1000000014901161,4.999999873689376e-05,22.857222,-0.010015934,22.866995,-0.17911817,0.0024529474,8.479415,0.0
2,-223.5548832242182,-589.9964323056998,-346.27352964159275,1000.0,0,8,12000,0,12000,False,8,3,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-33,1642158333,2.5275895595550537,7.761544704437256,172759,alfabotek,192.168.1.101,7.761544704437256,0,3,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3408.467,1173.548,0.248,16100975.048,1895.4,2110.373,1.503,12000,12000,12000,12000,43.975,22.5,0.050000000745058,4.999999873689376e-05,29.916845,-0.024101436,29.940825,-0.12453583,0.002453208,8.472402,0.0
3,-205.3912787766797,-589.9964323056998,-339.4480776502053,1000.0,8,8,16000,0,16000,False,16,4,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-36,1642158336,2.5347371101379395,10.296281814575195,172759,alfabotek,192.168.1.101,10.296281814575195,0,4,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191, -484.79018889400027, -360.93447376847234, -205.39127877667974, -353.52186161192736, -297.11431215683325, -306.8644756658595, -302.74445636760436, -349.6199580291657]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3188.399,1254.548,0.24,16648192.508,1880.318,2127.3,1.505,16000,16000,16000,16000,47.5,22.5,0.025000000372529,4.999999873689376e-05,24.112017,-0.013288268,24.12523,-0.25992805,0.0029425018,8.41983,0.0
4,-205.3912787766797,-589.9964323056998,-339.4480776502053,1000.0,0,8,20000,0,20000,False,16,5,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-38,1642158338,2.5162103176116943,12.81249213218689,172759,alfabotek,192.168.1.101,12.81249213218689,0,5,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191, -484.79018889400027, -360.93447376847234, -205.39127877667974, -353.52186161192736, -297.11431215683325, -306.8644756658595, -302.74445636760436, -349.6199580291657]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3048.099,1312.293,0.235,17018884.155,1878.731,2129.096,1.594,20000,20000,20000,20000,39.575,22.525,0.0125000001862645,4.999999873689376e-05,35.981407,-0.009488241,35.990864,-0.16832362,0.0026395244,8.450911,0.0
5,-205.3912787766797,-589.9964323056998,-345.16495186294543,1000.0,8,8,24000,0,24000,False,24,6,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-41,1642158341,2.617008209228516,15.429500341415403,172759,alfabotek,192.168.1.101,15.429500341415403,0,6,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191, -484.79018889400027, -360.93447376847234, -205.39127877667974, -353.52186161192736, -297.11431215683325, -306.8644756658595, -302.74445636760436, -349.6199580291657, -523.7371810662994, -279.5194305926395, -291.41143852693597, -387.36080105722266, -334.2671604454146, -205.41407998232378, -534.370605911089, -296.7089047254816]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2962.313,1350.296,0.239,16738160.293,1892.698,2113.385,1.561,24000,24000,24000,24000,43.025,22.55,0.0062500000931322,4.999999873689376e-05,20.5928,-0.011371559,20.604153,-0.503302,0.003454742,8.382164,0.0
6,-205.3912787766797,-589.9964323056998,-345.16495186294543,1000.0,0,8,28000,0,28000,False,24,7,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-43,1642158343,2.549762487411499,17.979262828826904,172759,alfabotek,192.168.1.101,17.979262828826904,0,7,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191, -484.79018889400027, -360.93447376847234, -205.39127877667974, -353.52186161192736, -297.11431215683325, -306.8644756658595, -302.74445636760436, -349.6199580291657, -523.7371810662994, -279.5194305926395, -291.41143852693597, -387.36080105722266, -334.2671604454146, -205.41407998232378, -534.370605911089, -296.7089047254816]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2921.077,1369.358,0.259,15473058.235,1885.977,2120.917,1.551,28000,28000,28000,28000,46.86666666666667,22.600000000000005,0.0031250000465661,4.999999873689376e-05,32.97907,-0.018297726,32.997356,-0.22817266,0.0029105349,8.431446,0.0
7,-205.3912787766797,-589.9964323056998,-353.9541529122454,1000.0,8,8,32000,0,32000,False,32,8,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-46,1642158346,2.5454370975494385,20.524699926376343,172759,alfabotek,192.168.1.101,20.524699926376343,0,8,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191, -484.79018889400027, -360.93447376847234, -205.39127877667974, -353.52186161192736, -297.11431215683325, -306.8644756658595, -302.74445636760436, -349.6199580291657, -523.7371810662994, -279.5194305926395, -291.41143852693597, -387.36080105722266, -334.2671604454146, -205.41407998232378, -534.370605911089, -296.7089047254816, -457.3195994223786, -398.4049346947884, -253.91422166566846, -290.18176038787834, -493.746609441707, -348.7199722176844, -392.34899368445815, -407.9379569665963]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2874.305,1391.641,0.255,15655864.691,1881.631,2125.815,1.549,32000,32000,32000,32000,40.725,22.575000000000003,0.001562500023283,4.999999873689376e-05,24.656313,-0.016216483,24.672522,-0.29435426,0.0029829293,8.369195,0.0
8,-205.3912787766797,-589.9964323056998,-353.9541529122454,1000.0,0,8,36000,0,36000,False,32,9,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-48,1642158348,2.5402092933654785,23.06490921974182,172759,alfabotek,192.168.1.101,23.06490921974182,0,9,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191, -484.79018889400027, -360.93447376847234, -205.39127877667974, -353.52186161192736, -297.11431215683325, -306.8644756658595, -302.74445636760436, -349.6199580291657, -523.7371810662994, -279.5194305926395, -291.41143852693597, -387.36080105722266, -334.2671604454146, -205.41407998232378, -534.370605911089, -296.7089047254816, -457.3195994223786, -398.4049346947884, -253.91422166566846, -290.18176038787834, -493.746609441707, -348.7199722176844, -392.34899368445815, -407.9379569665963]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2839.003,1408.945,0.252,15872484.39,1877.239,2130.789,1.522,36000,36000,36000,36000,46.06666666666667,22.600000000000005,0.0007812500116415,4.999999873689376e-05,32.61396,-0.018848363,32.63281,-0.18394552,0.0028277051,8.447341,0.0
9,-205.3912787766797,-589.9964323056998,-346.9493530945564,1000.0,8,8,40000,0,40000,False,40,10,default,ef748b52b6a6470f8f7b8c122e6ae189,2022-01-14_12-05-51,1642158351,2.545321464538574,25.6102306842804,172759,alfabotek,192.168.1.101,25.6102306842804,0,10,"[-254.3818234621992, -425.13516561570634, -589.9964323056998, -376.0259985342736, -250.3535455306569, -287.01849328146864, -223.5548832242182, -363.7218951785191, -484.79018889400027, -360.93447376847234, -205.39127877667974, -353.52186161192736, -297.11431215683325, -306.8644756658595, -302.74445636760436, -349.6199580291657, -523.7371810662994, -279.5194305926395, -291.41143852693597, -387.36080105722266, -334.2671604454146, -205.41407998232378, -534.370605911089, -296.7089047254816, -457.3195994223786, -398.4049346947884, -253.91422166566846, -290.18176038787834, -493.746609441707, -348.7199722176844, -392.34899368445815, -407.9379569665963, -217.30960178458804, -282.1688148826067, -390.68414478776805, -211.52173687872647, -299.6007856649302, -420.7433687235708, -378.184812285789, -351.22796558242527]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2808.589,1424.203,0.253,15832043.031,1875.378,2132.904,1.513,40000,40000,40000,40000,40.75,22.575000000000003,0.0003906250058207,4.999999873689376e-05,24.762157,-0.012873157,24.77503,-0.4858597,0.0032441074,8.350204,0.0
