Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1387.9077	102.67165	-1256.4344	-1541.2496	1000.0	0.029235817	1.0225893	2.4834223	-2.385453	4000	-2.644956e-07	16884.5	-0.10103253	-1786.3677	5.4897327	0.041218035	0.305	79.0	3.8133132457733154
1	-1366.4705	156.08862	-1169.4115	-1525.0859	1000.0	-6.9626307	4.3204174	8.230172	-15.445047	8000	-7.4505806e-08	15396.373	-0.109540224	-3450.6033	5.443645	0.047273144	0.3395	79.0	6.438513994216919
2	-1271.0066	125.117744	-1133.7098	-1469.532	1000.0	-14.721798	17.253242	24.165302	-24.47025	12000	1.6391277e-07	11034.578	-0.10754813	-2781.0308	5.3831882	0.054048307	0.334	79.0	9.2849760055542
3	-1089.4631	54.149174	-1004.40283	-1153.4772	1000.0	-28.79025	4.31001	21.553902	-30.203846	16000	9.685755e-08	5856.035	-0.11029905	-818.71045	5.3592405	0.048887074	0.35549998	79.0	12.001097202301025
4	-998.2775	107.77836	-836.324	-1107.3135	1000.0	-35.25528	0.5634167	-23.293602	-35.449783	20000	3.7252903e-08	3740.5361	-0.10906258	-461.3286	5.2606177	0.051810313	0.355	79.0	14.657975435256958
5	-1010.4209	52.12136	-936.2454	-1083.2462	1000.0	-39.652386	0.24125601	-35.982635	-39.77565	24000	8.8475645e-09	3435.8892	-0.114150316	-423.88434	5.143588	0.05835416	0.34525	79.0	17.775193691253662
6	-807.3402	100.211784	-719.0134	-966.7184	1000.0	-43.876408	0.29532868	-34.759346	-43.98888	28000	7.450581e-09	1893.4198	-0.11098686	-156.121	5.0529547	0.0475237	0.34649998	79.0	20.744065761566162
7	-819.2832	128.60172	-626.84686	-968.9871	1000.0	-46.637096	0.2470921	-36.06795	-46.716427	32000	-3.7252903e-08	1455.0132	-0.115036495	-116.57555	5.0088434	0.050909296	0.3475	79.0	23.968286991119385
8	-758.3801	97.96994	-616.5215	-850.7297	1000.0	-49.03863	0.22964284	-41.148758	-49.09858	36000	-2.6077032e-08	958.9154	-0.11849432	-70.61804	4.9235435	0.069079995	0.38950002	79.0	27.13033413887024
9	-638.54407	77.48012	-505.34192	-697.48016	1000.0	-50.98385	0.13690226	-47.77274	-51.035194	40000	-2.9802322e-08	551.72797	-0.1159424	-7.697815	4.7899723	0.07603544	0.38950002	72.0	30.150400161743164
10	-704.32605	32.09225	-666.6755	-754.27295	1000.0	-51.693455	0.2249824	-41.310673	-51.736954	44000	2.7939677e-08	459.1861	-0.10544116	-28.567375	4.709954	0.07550461	0.371	74.0	33.56527400016785
11	-530.9972	68.794304	-469.5037	-645.5637	1000.0	-52.915043	0.17368014	-48.98689	-52.99138	48000	0.0	483.48676	-0.11449725	-14.490341	4.592347	0.06344891	0.371	79.0	36.33877897262573
12	-477.4242	57.459713	-432.1678	-576.0232	1000.0	-51.74709	3.5092545	14.854197	-52.672546	52000	5.5879354e-09	502.61157	-0.12728147	-86.749466	4.4880986	0.0741624	0.39775002	79.0	39.19077491760254
13	-634.2722	58.1201	-560.2429	-695.581	1000.0	-48.404587	6.365204	0.7248341	-51.77879	56000	-5.2154064e-08	419.78146	-0.113147974	-55.081734	4.4719396	0.07551752	0.408	63.0	41.96001219749451
14	-581.6284	22.676054	-547.96826	-609.3066	1000.0	-51.971893	1.6484474	-16.17572	-52.444607	60000	-4.656613e-09	263.81924	-0.09771089	-12.45499	4.3366303	0.07629724	0.3555	44.0	44.37621283531189
15	-475.1802	132.7817	-349.34915	-667.24	1000.0	-48.181015	6.552339	17.331827	-52.810287	64000	3.7252903e-09	580.8839	-0.123543754	-68.81423	4.2777405	0.075238556	0.4025	74.0	47.14648485183716
16	-436.56415	107.30194	-317.65543	-588.62714	1000.0	-44.22561	8.550711	13.386773	-52.521847	68000	-1.8626451e-08	400.47772	-0.117384784	-65.42269	4.2290163	0.07667626	0.39875	65.0	50.36974239349365
17	-360.45377	31.200796	-328.45932	-394.7725	1000.0	-40.44943	10.791005	25.661795	-52.33402	72000	-1.3737008e-08	296.67303	-0.105615474	-68.04782	4.0742755	0.07532641	0.3535	42.0	53.521836280822754
