Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-304.60443	34.036167	-265.93994	-351.27295	1000.0	-0.05506101	0.20154727	0.5952356	-0.60639644	4000	-5.5879354e-09	956.9699	-0.057648264	-336.35468	0.91893864	0.015139733	0.253	79.0	2.2677581310272217
1	-351.20844	63.944157	-283.12503	-432.27362	1000.0	-7.3762894	1.498291	0.037266508	-9.738526	8000	-2.9802322e-08	895.7294	-0.05727323	-390.42807	0.9122342	0.018540693	0.28125	79.0	4.405996322631836
2	-311.9369	103.2421	-207.94518	-477.02194	1000.0	-17.037468	0.37986583	-9.345918	-17.246729	12000	-4.4703484e-08	498.543	-0.05995048	-88.29534	0.9035739	0.014945961	0.26725	79.0	6.57961630821228
3	-307.10132	119.33638	-208.80515	-504.52747	1000.0	-21.245848	0.5419202	-12.883297	-21.438446	16000	1.4901161e-08	439.86078	-0.058807176	-49.502098	0.89543563	0.020457609	0.28100002	79.0	8.612050771713257
4	-152.72253	53.905056	-95.740456	-238.61917	1000.0	-23.041176	3.6638474	15.59806	-24.39035	20000	2.2351742e-08	217.54486	-0.065238185	-59.99755	0.8944092	0.021763958	0.29575002	79.0	10.765909671783447
5	-228.17458	57.48582	-132.15253	-284.17975	1000.0	-18.056036	5.768517	10.498334	-23.725822	24000	-3.7252903e-09	202.04108	-0.06257864	-42.505394	0.8875342	0.02656556	0.29500002	79.0	12.780914783477783
6	-144.31912	76.81179	-46.3279	-256.40033	1000.0	-21.893808	4.9343324	15.190031	-25.076252	28000	-7.450581e-09	200.03592	-0.062234934	-48.03607	0.8833874	0.022265418	0.29275	79.0	14.776318073272705
7	-172.50085	76.052086	-53.65232	-255.15256	1000.0	-14.7860155	5.720485	10.131558	-24.23737	32000	-7.450581e-09	209.58426	-0.06696662	-20.965221	0.8846714	0.029261898	0.324	79.0	16.825166940689087
8	-193.85854	41.545994	-141.66418	-252.55678	1000.0	-19.399376	5.3581467	6.884675	-24.493055	36000	0.0	115.10393	-0.06753292	-11.612658	0.8790029	0.031267177	0.34325	79.0	19.00455665588379
9	-195.55771	66.89348	-83.371216	-260.25223	1000.0	-20.089083	5.638824	7.444628	-24.99763	40000	3.7252903e-09	96.31215	-0.07093226	-20.55256	0.8696819	0.034812577	0.3655	79.0	21.1859347820282
10	-108.0417	39.998074	-59.350967	-154.60484	1000.0	-12.5742445	6.1527987	17.821007	-25.724611	44000	-1.6763806e-08	204.89365	-0.06661168	-26.150368	0.85958105	0.019627158	0.333	79.0	23.36802315711975
11	-127.60051	58.35007	-74.891495	-226.10828	1000.0	-12.813391	7.6439376	13.786845	-25.921873	48000	3.7252903e-09	86.30666	-0.07147579	-15.214199	0.8531177	0.024294995	0.34125	79.0	25.4924578666687
12	-95.95422	55.702755	-43.68511	-189.59607	1000.0	-11.927298	5.6572833	9.891261	-25.890253	52000	3.7252903e-09	117.53668	-0.065955386	-26.036741	0.84872687	0.01875587	0.3145	79.0	27.54973316192627
13	-88.90886	39.39026	-41.76475	-146.59892	1000.0	-8.424072	4.449122	10.4751425	-22.659243	56000	-7.450581e-09	112.65176	-0.068295226	-11.336742	0.84625214	0.020546464	0.33225	79.0	29.607083082199097
14	-141.29172	31.595787	-107.002426	-186.13936	1000.0	-9.11466	4.6928406	11.541442	-23.646158	60000	5.5879354e-09	173.32309	-0.06949808	-36.21517	0.84306973	0.019005856	0.32175	79.0	31.716184854507446
15	-119.948	81.14941	-66.079575	-260.22537	1000.0	-14.449018	5.5394006	8.61297	-25.86477	64000	-1.4901161e-08	121.62374	-0.07498912	-40.42865	0.84016937	0.031007366	0.36375	79.0	33.88470196723938
16	-122.86718	67.82927	-19.712358	-209.88695	1000.0	-9.592188	4.6290746	11.9315	-24.871813	68000	-2.0489097e-08	183.67459	-0.06833964	-36.128403	0.83605397	0.022515208	0.3395	79.0	36.01617646217346
17	-78.765816	49.743233	-18.476034	-137.14458	1000.0	-11.198625	4.978913	12.40843	-26.50004	72000	1.8626451e-09	188.42987	-0.07046205	-22.810507	0.83388543	0.017772978	0.35175	79.0	38.02963185310364
18	-64.38962	27.986256	-20.633377	-92.38383	1000.0	-8.988881	6.069523	20.61234	-26.961506	76000	-7.450581e-09	109.30259	-0.07073671	-30.170967	0.8239249	0.019507274	0.35025	79.0	40.062368869781494
19	-44.71823	15.656605	-19.752039	-60.066452	1000.0	-6.538986	2.4193664	8.0384035	-19.860958	80000	1.4901161e-08	46.410675	-0.07259243	-5.219184	0.80784047	0.022636242	0.35275	79.0	42.107704877853394
20	-30.353996	10.667556	-19.176298	-47.788555	1000.0	-5.7371035	2.858465	11.259727	-17.050388	84000	-1.1175871e-08	85.023346	-0.07143616	-9.125404	0.79610735	0.019269012	0.34825	79.0	44.29306149482727
21	-0.24762058	19.820492	20.874706	-26.490631	1000.0	-3.994961	2.6380641	10.742387	-18.570847	88000	3.7252903e-09	60.537403	-0.07417309	-16.437473	0.7903792	0.024831071	0.36875	79.0	46.37032389640808
22	-4.6801243	67.38979	87.811356	-98.16615	1000.0	-0.60362476	2.8246095	12.071973	-16.00144	92000	-4.4703484e-08	126.80998	-0.0750465	-14.436132	0.77548337	0.021335201	0.36675	79.0	48.52528977394104
23	44.53961	41.725697	97.53114	-19.132534	1000.0	-1.5349438	4.0913086	21.34517	-20.375385	96000	0.0	108.580635	-0.07338947	-36.78566	0.77248013	0.024362344	0.34125	79.0	50.80723214149475
24	57.30481	32.34461	89.19633	12.969919	1000.0	3.4553125	3.9456048	21.317486	-21.835606	100000	-1.3038516e-08	80.09442	-0.07116945	-14.118493	0.76358515	0.025213271	0.3525	79.0	52.90277028083801
25	38.604008	22.400356	66.72283	4.90306	1000.0	5.691205	3.9148364	23.679623	-13.813589	104000	-7.450581e-09	95.2277	-0.07725811	-16.084335	0.7553455	0.023040164	0.379	79.0	55.03230357170105
26	32.002342	14.48352	43.31969	7.7442303	1000.0	4.7119308	3.113446	20.582548	-12.196082	108000	9.313226e-10	112.339355	-0.07486153	-11.511467	0.74955463	0.021961527	0.35975	79.0	57.02292847633362
27	36.917526	54.014626	105.31759	-29.357826	1000.0	3.4287329	3.5975897	16.600828	-18.182455	112000	2.0489097e-08	133.4333	-0.07498543	-17.055933	0.7376869	0.014633297	0.3675	79.0	58.965004682540894
28	73.53049	22.842344	112.43685	55.222324	1000.0	5.2066903	4.4202456	22.539186	-18.844393	116000	1.8626451e-08	102.40237	-0.07468456	-15.111877	0.7324921	0.020092104	0.366	79.0	60.95897150039673
29	59.197845	48.0728	125.2425	8.96165	1000.0	6.6480985	4.3501406	23.595177	-19.654795	120000	-1.3038516e-08	125.19231	-0.07621275	-14.241658	0.72575295	0.024256289	0.37125	79.0	63.181965351104736
30	117.7383	22.77028	135.90921	79.107376	1000.0	6.8328357	4.2496324	24.50452	-13.970126	124000	-1.1175871e-08	104.819855	-0.07713805	-33.640812	0.7142347	0.020820484	0.37675	79.0	65.29551148414612
31	70.335434	86.89505	137.794	-78.17333	1000.0	11.604652	4.2864146	26.29151	-15.155052	128000	-7.450581e-09	265.12195	-0.07819733	-48.521095	0.70318294	0.01856419	0.38175	79.0	67.41264986991882
