Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-619.0403	53.389202	-546.94696	-680.18866	1000.0	-0.03359602	1.2855278	3.2573287	-3.1091602	4000	-1.0523945e-07	52.47544	-0.04889398	-32.677177	5.4857206	0.009671783	0.467	79.0	2.2729151248931885
1	-561.92126	25.967653	-521.2546	-592.9096	1000.0	-2.8551955	2.3306286	4.6621547	-11.754648	8000	1.3038516e-08	16.913582	-0.04757882	-10.371427	5.506445	0.008047943	0.44575	79.0	4.11459755897522
2	-607.89	66.10058	-513.6016	-694.67596	1000.0	-5.2128153	3.249707	6.6127543	-14.384195	12000	-9.313226e-09	8.775294	-0.04889325	-1.897048	5.437499	0.01260704	0.47	79.0	5.981449604034424
3	-680.3998	102.91955	-576.21686	-843.3062	1000.0	-5.5153127	4.733253	12.372941	-15.503174	16000	-2.9802322e-08	22.981245	-0.04569319	-13.1422415	5.4849453	0.007162747	0.47275	79.0	7.837769031524658
4	-685.2291	119.10588	-603.43304	-889.7491	1000.0	-6.0634775	2.3050847	1.9903251	-12.090881	20000	1.4901161e-08	11.346321	-0.0499517	-3.5513597	5.4297757	0.010925494	0.48425	79.0	9.718388319015503
5	-564.1277	118.60215	-436.45743	-752.49817	1000.0	-5.6990047	2.8676124	6.2641454	-13.160182	24000	0.0	8.3144455	-0.05019694	-1.8977356	5.3664885	0.007546493	0.49625	79.0	11.546297788619995
6	-574.2312	64.74298	-502.6784	-642.26776	1000.0	-3.905512	3.3597832	7.571273	-12.8356695	28000	0.0	15.970862	-0.05096755	-9.058998	5.3552794	0.00842668	0.497	79.0	13.39972472190857
7	-538.3087	71.49126	-466.26038	-648.6852	1000.0	-4.8341103	3.79312	7.444299	-14.903332	32000	-2.9802322e-08	7.105958	-0.047933746	-1.1847118	5.3549814	0.0077688573	0.45575	79.0	15.257810115814209
8	-493.60953	61.387497	-387.66336	-535.31494	1000.0	-4.6892414	3.3466558	6.358257	-14.435713	36000	1.5832484e-08	6.499173	-0.048813958	-0.9188968	5.276263	0.0110007385	0.471	79.0	17.09859561920166
9	-517.6017	82.22387	-431.48892	-650.23	1000.0	-4.147578	3.211792	6.538502	-13.421181	40000	-2.2351742e-08	9.512629	-0.049395528	-3.6955843	5.2426376	0.0083623845	0.49125	79.0	18.9914448261261
10	-334.65463	56.36761	-266.56274	-423.15753	1000.0	-3.5776381	3.4325063	6.281997	-13.8025055	44000	-1.1175871e-08	7.4012117	-0.048881955	-1.5641497	5.2615213	0.008700493	0.47775	79.0	21.065022468566895
11	-277.93665	36.31237	-228.8666	-320.3409	1000.0	-2.6552515	3.258622	9.354182	-12.356441	48000	-2.9802322e-08	6.252765	-0.04948426	-0.95444643	5.2282667	0.0072119115	0.48175	79.0	22.926370859146118
12	-352.96606	185.6392	-104.791214	-618.1532	1000.0	-2.597736	2.9861588	8.583122	-11.803947	52000	2.9802322e-08	9.009308	-0.05162276	-3.3015883	5.1692615	0.009057911	0.5145	79.0	24.793628215789795
13	-363.3241	99.7707	-267.4232	-519.4745	1000.0	-3.1253867	3.3579776	9.184514	-13.429727	56000	2.2351742e-08	6.7504597	-0.049888887	-1.2001404	5.1221848	0.008579537	0.48275	79.0	26.663530111312866
14	-387.83533	137.93031	-292.79187	-626.13904	1000.0	-2.5539224	3.4227061	7.7045317	-13.814733	60000	0.0	13.350243	-0.050054844	-7.9695477	5.122918	0.007603541	0.47	79.0	28.48500347137451
15	-258.51	130.06956	-80.343506	-413.81445	1000.0	-2.294413	3.2178235	8.624268	-13.077731	64000	-7.450581e-09	5.5271673	-0.050208423	-0.9619454	5.069726	0.010133121	0.4985	79.0	30.325509071350098
16	-308.08197	132.41841	-88.65742	-435.66928	1000.0	-2.6773639	3.3345783	8.194106	-13.129758	68000	0.0	6.3350906	-0.04934545	-1.2870399	5.035121	0.01144967	0.47775	79.0	32.21449017524719
17	-221.51678	54.494923	-141.62701	-279.1166	1000.0	-2.4294395	3.9586067	11.789099	-13.76917	72000	-1.8626451e-09	7.0362263	-0.05012682	-1.2064317	4.9883423	0.006892891	0.4765	79.0	33.99039626121521
18	-205.20004	29.718775	-165.12566	-245.8665	1000.0	-1.8869233	3.5502257	8.731777	-14.0276575	76000	2.0489097e-08	5.564811	-0.05067306	-1.0518998	4.953491	0.00660713	0.492	79.0	35.79846000671387
19	-393.63373	207.3902	-234.42227	-748.2174	1000.0	-2.017794	3.3135588	10.193317	-12.660207	80000	-1.4901161e-08	13.89303	-0.052831054	-8.960223	4.999999	0.012499239	0.509	79.0	37.629520654678345
20	-218.04979	90.46245	-156.79796	-374.37656	1000.0	-2.2493746	3.888495	9.333979	-15.382276	84000	-1.8626451e-09	6.947795	-0.050547116	-1.4719052	4.907856	0.00710827	0.49025	79.0	39.71421957015991
21	-240.43506	106.61513	-151.65945	-421.3804	1000.0	-2.1014946	3.7138503	9.909243	-13.110779	88000	1.8626451e-09	5.9338236	-0.05249764	-1.5338019	4.9095707	0.0131903235	0.514	79.0	41.58127808570862
22	-254.11844	170.29465	-100.73182	-542.0255	1000.0	-2.4258728	3.7048464	9.242292	-12.16636	92000	-2.2351742e-08	5.890894	-0.052233614	-1.0728076	4.801457	0.008455748	0.49925	79.0	43.42745923995972
