Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-394.88718	63.325283	-318.683	-489.07153	1000.0	0.08457307	0.24709146	0.76524705	-0.60906017	4000	8.940697e-08	1559.1631	-0.032507546	-451.85742	0.91893864	0.00535601	0.29725	79.0	0.607438325881958
1	-341.05817	84.73521	-280.6147	-487.04596	1000.0	-6.828546	1.3695835	0.27399734	-9.253577	8000	-3.7252903e-08	881.721	-0.033878967	-346.27505	0.91366714	0.004248462	0.32674998	79.0	1.2066121101379395
2	-303.90125	47.665005	-243.12337	-376.5713	1000.0	-15.777643	0.3985448	-8.597388	-16.032967	12000	-3.7252903e-08	430.05603	-0.03505638	-87.55202	0.91090137	0.007740347	0.36374998	79.0	1.8780944347381592
3	-303.44055	71.92046	-232.03171	-406.75323	1000.0	-19.948797	0.3986604	-12.159508	-20.133354	16000	1.4901161e-08	306.69327	-0.034872632	-59.614582	0.9103747	0.00342697	0.36124998	79.0	2.5524587631225586
4	-319.95413	87.24582	-207.78221	-436.1625	1000.0	-23.461485	0.44514838	-11.655178	-23.636803	20000	2.2351742e-08	257.11774	-0.03404761	-32.700935	0.90541047	0.0056553665	0.339	79.0	3.17169451713562
5	-220.79997	32.85284	-188.04863	-274.2883	1000.0	-26.134956	0.8504319	-10.306007	-26.34758	24000	1.4901161e-08	163.12057	-0.03543604	-21.399557	0.9006197	0.006061211	0.37	79.0	3.786548137664795
6	-239.91666	64.49686	-180.93666	-347.43506	1000.0	-22.81396	4.7442813	21.2388	-25.649807	28000	-1.1175871e-08	336.1718	-0.034346964	-32.5899	0.89506656	0.005694892	0.33449998	79.0	4.392010688781738
7	-238.52074	80.563286	-101.94173	-309.9718	1000.0	-19.274324	13.131561	26.236055	-26.57518	32000	1.1175871e-08	431.28094	-0.037898704	-152.18558	0.89199966	0.0057280697	0.36275	79.0	4.998992919921875
8	-263.7795	80.71859	-134.00493	-354.68216	1000.0	-22.256535	4.346938	6.7995887	-26.481571	36000	1.4901161e-08	316.48325	-0.03622547	-35.51928	0.8897055	0.008411923	0.37	79.0	5.604706525802612
9	-215.6318	18.583279	-183.45697	-226.95624	1000.0	-24.884836	4.076092	10.198419	-27.803825	40000	-1.6763806e-08	231.06122	-0.036492698	-45.406853	0.88719004	0.007839759	0.38125002	79.0	6.206204891204834
