episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,8,4000,0,4000,False,0,1,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-39-43,1642221583,2.6357595920562744,2.6357595920562744,172759,alfabotek,192.168.1.101,2.6357595920562744,0,1,[],[],4588.271,871.788,0.221,18059435.953,1940.548,2061.273,3.184,4000,4000,4000,4000,29.175,25.55,0.20000000298023224,4.999999873689376e-05,24.24645,-0.024655242,24.269867,0.003765778,0.006181725,8.500835,0.0
-290.816134412186,-405.63569819410304,-348.3710957472635,1000.0,8,8,8000,0,8000,False,8,2,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-39-45,1642221585,2.4039435386657715,5.039703130722046,172759,alfabotek,192.168.1.101,5.039703130722046,0,2,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3564.215,1122.267,0.205,19508390.698,1875.404,2132.874,2.806,8000,8000,8000,8000,37.325,23.7,0.20000000298023224,4.999999873689376e-05,7.2389035,-0.020283787,7.2581506,-0.14592998,0.0051818728,8.482006,0.0
-290.816134412186,-405.63569819410304,-348.3710957472635,1000.0,0,8,12000,0,12000,False,8,3,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-39-48,1642221588,2.392251968383789,7.431955099105835,172759,alfabotek,192.168.1.101,7.431955099105835,0,3,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",3185.68,1255.619,0.207,19343446.58,1844.851,2168.197,2.457,12000,12000,12000,12000,34.96666666666667,23.7,0.20000000298023224,4.999999873689376e-05,16.13315,-0.028454727,16.160326,-0.07895946,0.0063902014,8.475281,0.0
-205.6632002672007,-532.6912924289547,-333.12283197866003,1000.0,8,8,16000,0,16000,False,16,4,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-39-50,1642221590,2.4250905513763428,9.857045650482178,172759,alfabotek,192.168.1.101,9.857045650482178,0,4,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186, -364.5863739163901, -383.63844157727243, -244.13880845146358, -241.4498130906371, -347.56835379632366, -205.6632002672007, -223.26026215221052, -532.6912924289547]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2994.475,1335.793,0.202,19807811.098,1832.096,2183.292,2.339,16000,16000,16000,16000,37.224999999999994,23.7,0.20000000298023224,4.999999873689376e-05,5.1194406,-0.02539349,5.1431603,-0.15325315,0.008366144,8.395578,0.0
-205.6632002672007,-532.6912924289547,-333.12283197866003,1000.0,0,8,20000,0,20000,False,16,5,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-39-53,1642221593,2.631298542022705,12.488344192504883,172759,alfabotek,192.168.1.101,12.488344192504883,0,5,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186, -364.5863739163901, -383.63844157727243, -244.13880845146358, -241.4498130906371, -347.56835379632366, -205.6632002672007, -223.26026215221052, -532.6912924289547]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2885.72,1386.136,0.199,20126218.81,1862.73,2147.385,2.219,20000,20000,20000,20000,38.93333333333333,23.7,0.20000000298023224,4.999999873689376e-05,9.310129,-0.026397508,9.335234,-0.13423696,0.0064635356,8.385925,0.0
-205.6632002672007,-532.6912924289547,-330.4012482539625,1000.0,8,8,24000,0,24000,False,24,6,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-39-55,1642221595,2.351743459701538,14.840087652206421,172759,alfabotek,192.168.1.101,14.840087652206421,0,6,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186, -364.5863739163901, -383.63844157727243, -244.13880845146358, -241.4498130906371, -347.56835379632366, -205.6632002672007, -223.26026215221052, -532.6912924289547, -264.8810363958201, -483.5180388040324, -335.32210948927, -220.17653350665816, -376.1145715121131, -211.79029820002256, -327.08097647583276, -380.781082052789]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2833.054,1411.904,0.208,19210552.672,1848.544,2163.865,2.1,24000,24000,24000,24000,37.275,23.7,0.20000000298023224,4.999999873689376e-05,6.514115,-0.027642425,6.5403485,-0.05306759,0.0070461347,8.303328,0.0
-205.6632002672007,-532.6912924289547,-330.4012482539625,1000.0,0,8,28000,0,28000,False,24,7,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-39-58,1642221598,2.41438889503479,17.25447654724121,172759,alfabotek,192.168.1.101,17.25447654724121,0,7,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186, -364.5863739163901, -383.63844157727243, -244.13880845146358, -241.4498130906371, -347.56835379632366, -205.6632002672007, -223.26026215221052, -532.6912924289547, -264.8810363958201, -483.5180388040324, -335.32210948927, -220.17653350665816, -376.1145715121131, -211.79029820002256, -327.08097647583276, -380.781082052789]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2772.955,1442.504,0.206,19456678.595,1839.673,2174.3,1.997,28000,28000,28000,28000,44.63333333333333,23.7,0.20000000298023224,4.999999873689376e-05,9.274412,-0.025354562,9.298161,-0.1919075,0.008033039,8.302381,0.0
-205.6632002672007,-532.6912924289547,-325.932537259713,1000.0,8,8,32000,0,32000,False,32,8,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-40-00,1642221600,2.419947624206543,19.674424171447754,172759,alfabotek,192.168.1.101,19.674424171447754,0,8,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186, -364.5863739163901, -383.63844157727243, -244.13880845146358, -241.4498130906371, -347.56835379632366, -205.6632002672007, -223.26026215221052, -532.6912924289547, -264.8810363958201, -483.5180388040324, -335.32210948927, -220.17653350665816, -376.1145715121131, -211.79029820002256, -327.08097647583276, -380.781082052789, -365.8981914777452, -280.0264867601692, -395.89810059725835, -323.904105439288, -237.26826275761584, -296.0183271740041, -345.65088388505364, -255.54687612458366]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2726.298,1467.191,0.204,19613872.278,1836.331,2178.257,1.92,32000,32000,32000,32000,38.974999999999994,23.7,0.20000000298023224,4.999999873689376e-05,3.6636937,-0.030104658,3.692331,-0.004030457,0.007335936,8.189337,0.0
-205.6632002672007,-532.6912924289547,-325.932537259713,1000.0,0,8,36000,0,36000,False,32,9,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-40-02,1642221602,2.4038772583007812,22.078301429748535,172759,alfabotek,192.168.1.101,22.078301429748535,0,9,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186, -364.5863739163901, -383.63844157727243, -244.13880845146358, -241.4498130906371, -347.56835379632366, -205.6632002672007, -223.26026215221052, -532.6912924289547, -264.8810363958201, -483.5180388040324, -335.32210948927, -220.17653350665816, -376.1145715121131, -211.79029820002256, -327.08097647583276, -380.781082052789, -365.8981914777452, -280.0264867601692, -395.89810059725835, -323.904105439288, -237.26826275761584, -296.0183271740041, -345.65088388505364, -255.54687612458366]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2692.293,1485.722,0.203,19717281.797,1832.722,2182.546,1.879,36000,36000,36000,36000,41.699999999999996,23.7,0.20000000298023224,4.999999873689376e-05,8.078761,-0.031188624,8.108587,-0.14844628,0.0068095378,8.219377,0.0
-204.12432631006192,-532.6912924289547,-318.5739052267253,1000.0,8,8,40000,0,40000,False,40,10,default,3ba16e05f28a4883a67769dcfefc21f5,2022-01-15_05-40-05,1642221605,2.4131593704223633,24.4914608001709,172759,alfabotek,192.168.1.101,24.4914608001709,0,10,"[-324.69658135095955, -366.4359776279112, -300.2783948510232, -382.0381087458173, -336.16629347086524, -380.90157732524233, -405.63569819410304, -290.816134412186, -364.5863739163901, -383.63844157727243, -244.13880845146358, -241.4498130906371, -347.56835379632366, -205.6632002672007, -223.26026215221052, -532.6912924289547, -264.8810363958201, -483.5180388040324, -335.32210948927, -220.17653350665816, -376.1145715121131, -211.79029820002256, -327.08097647583276, -380.781082052789, -365.8981914777452, -280.0264867601692, -395.89810059725835, -323.904105439288, -237.26826275761584, -296.0183271740041, -345.65088388505364, -255.54687612458366, -321.80801401227785, -308.78467289990533, -204.12432631006192, -256.5988554359386, -352.57875556770585, -239.85100909573634, -361.0691348121037, -268.300248624467]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",2661.731,1502.781,0.204,19588109.749,1833.06,2182.143,1.829,40000,40000,40000,40000,38.574999999999996,23.7,0.20000000298023224,4.999999873689376e-05,4.333612,-0.034086496,4.366193,-0.048325002,0.0075256606,8.104338,0.0
