,episode_reward_max,episode_reward_min,AverageEpRet,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,TotalEnvInteracts,done,episodes_total,Epoch,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
0,-347.1027190134312,-383.78025139655296,-362.9452047060709,1000.0,4,2,4000,0,4000,False,4,1,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-46-50,1642409210,3.8021607398986816,3.8021607398986816,382945,alfabotek,192.168.1.103,3.8021607398986816,0,1,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296]","[1000, 1000, 1000, 1000]",0.0567489239884757,0.607724013416723,0.0676801358384528,0.0985098862159496,0.0,5524.676,724.024,0.192,20867184.08,2085.61,1917.904,1.209,4000,4000,4000,4000,38.03333333333334,24.266666666666666,0.2000000029802322,4.999999873689376e-05,509.38892,-0.0040754364,509.39252,-0.034862224,0.0022259476,8.497743,0.0
1,-268.5104733863714,-383.78025139655296,-340.66683531312,1000.0,4,2,8000,0,8000,False,8,2,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-46-54,1642409214,3.6550121307373047,7.457172870635986,382945,alfabotek,192.168.1.103,7.457172870635986,0,2,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0566114064116598,0.6036983082378375,0.0677209062814513,0.0984118962517384,0.0,4654.404,859.401,0.19,21037261.442,2030.602,1969.859,1.186,8000,8000,8000,8000,35.54,23.8,0.1000000014901161,4.999999873689376e-05,307.10767,-0.005795822,307.11325,-0.05228996,0.002280043,8.489317,0.0
2,-268.5104733863714,-540.2915798491543,-366.4090599708073,1000.0,4,2,12000,0,12000,False,12,3,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-46-57,1642409217,3.655348300933838,11.112521171569824,382945,alfabotek,192.168.1.103,11.112521171569824,0,3,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488, -540.2915798491543, -384.45558484501566, -460.4681658815653, -286.35870656899266]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0565840638862297,0.6021516073570566,0.0677894143674066,0.0984288379691545,0.0,4329.42,923.911,0.194,20670081.314,2006.344,1993.676,1.176,12000,12000,12000,12000,35.7,23.8,0.050000000745058,4.999999873689376e-05,766.42596,-0.013821298,766.43964,-0.0834348,0.0025779544,8.485765,0.0
3,-268.5104733863714,-540.2915798491543,-368.6062261812004,1000.0,4,2,16000,0,16000,False,16,4,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-47-01,1642409221,3.6324033737182617,14.744924545288086,382945,alfabotek,192.168.1.103,14.744924545288086,0,4,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488, -540.2915798491543, -384.45558484501566, -460.4681658815653, -286.35870656899266, -441.0079956574393, -284.33879633552016, -389.39214749355403, -386.05195976300473]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0565805628883388,0.6012455454659453,0.0678295447040032,0.0984689722777476,0.0,4159.894,961.563,0.225,17744279.217,1991.567,2008.468,1.133,16000,16000,16000,16000,36.06666666666666,23.78333333333333,0.025000000372529,4.999999873689376e-05,427.30566,-0.00740112,427.31305,-0.04784627,0.0023394264,8.483018,0.0
4,-268.5104733863714,-540.2915798491543,-364.0170469857198,1000.0,4,2,20000,0,20000,False,20,5,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-47-05,1642409225,3.584371566772461,18.329296112060547,382945,alfabotek,192.168.1.103,18.329296112060547,0,5,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488, -540.2915798491543, -384.45558484501566, -460.4681658815653, -286.35870656899266, -441.0079956574393, -284.33879633552016, -389.39214749355403, -386.05195976300473, -349.44329044838514, -339.0682378740702, -369.07626648230024, -325.0535260104347]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0565936692183091,0.6005809759313431,0.067872826201428,0.0985375558133723,0.0,4058.817,985.509,0.244,16374405.622,1970.097,2030.357,1.131,20000,20000,20000,20000,36.02,24.18,0.0125000001862645,4.999999873689376e-05,397.82202,-0.0050933613,397.8271,-0.2690762,0.0029090182,8.453696,0.0
5,-265.6203084728737,-540.2915798491543,-361.95690601015,1000.0,4,2,24000,0,24000,False,24,6,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-47-08,1642409228,3.463905572891236,21.793201684951782,382945,alfabotek,192.168.1.103,21.793201684951782,0,6,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488, -540.2915798491543, -384.45558484501566, -460.4681658815653, -286.35870656899266, -441.0079956574393, -284.33879633552016, -389.39214749355403, -386.05195976300473, -349.44329044838514, -339.0682378740702, -369.07626648230024, -325.0535260104347, -384.49189373029935, -355.02956165660817, -265.6203084728737, -401.4830406694223]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0565424912754157,0.5994652391791649,0.0678399275883421,0.098491374769524,0.0,3969.022,1007.805,0.235,17052904.625,1947.646,2053.761,1.117,24000,24000,24000,24000,31.98,24.66,0.0062500000931322,4.999999873689376e-05,258.4403,-0.00407891,258.44437,-0.13825953,0.0028775819,8.425865,0.0
6,-265.6203084728737,-540.2915798491543,-361.59177608652135,1000.0,4,2,28000,0,28000,False,28,7,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-47-12,1642409232,3.45853853225708,25.251740217208862,382945,alfabotek,192.168.1.103,25.251740217208862,0,7,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488, -540.2915798491543, -384.45558484501566, -460.4681658815653, -286.35870656899266, -441.0079956574393, -284.33879633552016, -389.39214749355403, -386.05195976300473, -349.44329044838514, -339.0682378740702, -369.07626648230024, -325.0535260104347, -384.49189373029935, -355.02956165660817, -265.6203084728737, -401.4830406694223, -400.6396088560541, -326.5567703291211, -416.1958209843483, -294.21178600947337]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0564349898885177,0.5979010886815592,0.0677407161596699,0.0983406980735191,0.0,3888.737,1028.612,0.228,17578283.49,1939.93,2061.931,1.133,28000,28000,28000,28000,32.42,25.0,0.0031250000465661,4.999999873689376e-05,196.39815,-0.0021142743,196.40025,-0.031535044,0.0025966386,8.396207,0.0
7,-265.6203084728737,-540.2915798491543,-358.4791552515072,1000.0,4,2,32000,0,32000,False,32,8,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-47-15,1642409235,3.5889315605163574,28.84067177772522,382945,alfabotek,192.168.1.103,28.84067177772522,0,8,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488, -540.2915798491543, -384.45558484501566, -460.4681658815653, -286.35870656899266, -441.0079956574393, -284.33879633552016, -389.39214749355403, -386.05195976300473, -349.44329044838514, -339.0682378740702, -369.07626648230024, -325.0535260104347, -384.49189373029935, -355.02956165660817, -265.6203084728737, -401.4830406694223, -400.6396088560541, -326.5567703291211, -416.1958209843483, -294.21178600947337, -342.4706029332017, -312.7998401843035, -375.2804429094873, -316.2123515986402]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0563538436707124,0.5967436972580158,0.0676717585787715,0.0982289146796074,0.0,3850.144,1038.922,0.222,17989241.12,1936.143,2065.964,1.13,32000,32000,32000,32000,29.72,24.46,0.001562500023283,4.999999873689376e-05,176.06789,-0.0024108945,176.0703,-0.034897793,0.0026533953,8.396559,0.0
8,-253.79333866835012,-540.2915798491543,-361.50124188022727,1000.0,4,2,36000,0,36000,False,36,9,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-47-19,1642409239,3.544321298599243,32.38499307632446,382945,alfabotek,192.168.1.103,32.38499307632446,0,9,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488, -540.2915798491543, -384.45558484501566, -460.4681658815653, -286.35870656899266, -441.0079956574393, -284.33879633552016, -389.39214749355403, -386.05195976300473, -349.44329044838514, -339.0682378740702, -369.07626648230024, -325.0535260104347, -384.49189373029935, -355.02956165660817, -265.6203084728737, -401.4830406694223, -400.6396088560541, -326.5567703291211, -416.1958209843483, -294.21178600947337, -342.4706029332017, -312.7998401843035, -375.2804429094873, -316.2123515986402, -448.0840840591918, -253.79333866835015, -335.7372361954932, -505.0970807169156]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0562690197888985,0.5956408834820291,0.0675994356209924,0.0981074652076454,0.0,3815.029,1048.485,0.219,18286901.296,1934.994,2067.19,1.143,36000,36000,36000,36000,34.02,24.56,0.0007812500116415,4.999999873689376e-05,446.62558,-0.025692005,446.65128,-0.18074387,0.003192777,8.409857,0.0
9,-253.79333866835012,-540.2915798491543,-360.90427942679975,1000.0,4,2,40000,0,40000,False,40,10,default,71d907142fa7424bb2061440c00f1989,2022-01-17_09-47-22,1642409242,3.6647233963012695,36.04971647262573,382945,alfabotek,192.168.1.103,36.04971647262573,0,10,"[-371.86838824845705, -347.1027190134312, -349.0294601658424, -383.78025139655296, -377.63258646937254, -330.19772083128333, -268.5104733863714, -297.2130829936488, -540.2915798491543, -384.45558484501566, -460.4681658815653, -286.35870656899266, -441.0079956574393, -284.33879633552016, -389.39214749355403, -386.05195976300473, -349.44329044838514, -339.0682378740702, -369.07626648230024, -325.0535260104347, -384.49189373029935, -355.02956165660817, -265.6203084728737, -401.4830406694223, -400.6396088560541, -326.5567703291211, -416.1958209843483, -294.21178600947337, -342.4706029332017, -312.7998401843035, -375.2804429094873, -316.2123515986402, -448.0840840591918, -253.79333866835015, -335.7372361954932, -505.0970807169156, -310.0775171934994, -307.5416249469173, -411.7196670785942, -392.7876601647995]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0562195253686544,0.595009839411216,0.0675673482339097,0.0980458446348575,0.0,3798.318,1053.098,0.216,18524032.24,1936.542,2065.537,1.132,40000,40000,40000,40000,36.8,23.46,0.0003906250058207,4.999999873689376e-05,155.58484,-0.0023751603,155.58723,-0.08907471,0.0028157048,8.354922,0.0
