Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-299.81827	57.38902	-234.09157	-391.42807	1000.0	0.007961083	0.27946803	0.8233999	-0.8329919	4000	-2.0489097e-08	40.650352	-0.041710198	-24.4757	0.91893864	0.015000874	0.19375	40.0	1.5541136264801025
1	-243.2543	41.57192	-177.29733	-280.78796	1000.0	-4.4497924	1.5094628	1.8243123	-7.7274237	8000	-1.1175871e-08	17.582172	-0.050154917	-3.6718862	0.90908116	0.015018938	0.231	59.0	3.161290407180786
2	-319.18103	30.440472	-268.0154	-347.7677	1000.0	-4.2074246	2.1392424	4.0355234	-8.219919	12000	7.450581e-09	21.309563	-0.047875106	-4.386547	0.9016303	0.0152394045	0.229	47.0	4.669945240020752
3	-238.65361	58.064655	-172.51167	-307.22003	1000.0	-4.8238907	2.7489436	7.0904365	-10.346143	16000	-4.8428774e-08	17.978619	-0.04399409	-4.217003	0.8918058	0.015002492	0.205	33.0	6.091268062591553
4	-195.79124	53.209003	-146.99225	-278.3836	1000.0	-3.6849556	2.7633352	6.6472607	-11.077465	20000	-7.450581e-09	13.094402	-0.0131959915	-2.5846295	0.8888084	0.015439841	0.20899999	6.0	7.381640672683716
5	-198.58813	92.8519	-89.0957	-316.32352	1000.0	-3.148233	2.3600364	5.454854	-11.294676	24000	-1.4901161e-08	11.758948	-0.05785066	-2.9347367	0.88751173	0.012503527	0.27925	79.0	9.147512435913086
6	-208.44272	79.4508	-129.43448	-307.76648	1000.0	-3.0846167	3.542415	9.535296	-13.608066	28000	-3.3527613e-08	16.159443	-0.013650764	-3.0363896	0.8785813	0.016644461	0.2175	6.0	10.403997898101807
7	-201.26663	35.981586	-158.8664	-248.35962	1000.0	-4.2473173	2.9413304	10.547784	-14.815901	32000	-1.6763806e-08	12.250752	-0.054172	-3.0509202	0.87787694	0.015038127	0.24974999	65.0	12.076000928878784
8	-179.72188	104.99751	-27.713171	-296.23492	1000.0	-3.1489563	2.7755766	9.199151	-12.98883	36000	-7.450581e-09	7.921396	-0.045287304	-1.7971739	0.8670638	0.015298976	0.22125	37.0	13.493047714233398
9	-140.23547	20.412285	-113.63528	-166.76021	1000.0	-1.854641	2.9548316	8.927098	-12.845909	40000	-3.7252903e-09	11.273762	-0.010449728	-2.280251	0.8554237	0.015780706	0.1925	6.0	14.75785231590271
10	-117.929184	59.509056	-55.93751	-198.79445	1000.0	-2.610222	2.7316082	8.330236	-12.676665	44000	-7.450581e-09	9.673347	-0.05874571	-1.8869883	0.85387367	0.01467946	0.27574998	79.0	16.526960372924805
11	-180.71072	42.236427	-139.38153	-250.9202	1000.0	-3.3778753	2.7060773	8.487159	-13.388043	48000	1.5832484e-08	7.6604977	-0.047669962	-1.3776022	0.844202	0.0153413825	0.2315	36.0	17.986568450927734
