episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-342.37246203220417,-428.4825400780181,-375.4570767526209,1000.0,4,2,4000,0,4000,False,4,1,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-50-43,1642452643,3.9886527061462402,3.9886527061462402,381942,alfabotek,192.168.1.103,3.9886527061462402,0,1,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181]","[1000, 1000, 1000, 1000]",0.05571881513009364,0.6058089200524555,0.06803365304194826,0.09669082752172498,0.0,5941.747,673.203,0.255,15679641.121,2236.095,1788.833,1.096,4000,4000,4000,4000,34.166666666666664,21.15,0.20000000298023224,4.999999873689376e-05,18.71258,0.0017561865,18.710333,-0.025981441,0.0024663638,8.489966,0.0
-342.37246203220417,-505.7734839649701,-390.07634912433406,1000.0,4,2,8000,0,8000,False,8,2,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-50-47,1642452647,3.695909261703491,7.6845619678497314,381942,alfabotek,192.168.1.103,7.6845619678497314,0,2,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.05577444816734589,0.6040177251488585,0.06821067492853167,0.09702777925938502,0.0,4960.283,806.406,0.227,17650937.401,2105.046,1900.196,1.097,8000,8000,8000,8000,33.86,20.5,0.10000000149011612,4.999999873689376e-05,16.713173,-0.024331644,16.737236,-0.17081554,0.0026938387,8.482107,0.0
-289.0252307800599,-505.7734839649701,-383.50095406140116,1000.0,4,2,12000,0,12000,False,12,3,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-50-51,1642452651,3.681262493133545,11.365824460983276,381942,alfabotek,192.168.1.103,11.365824460983276,0,3,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701, -360.81814440514347, -474.0425795256754, -289.0252307800599, -357.51470103126167]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.055807286426241255,0.602884250964037,0.06829953810746174,0.0971912345774773,0.0,4532.81,882.455,0.23,17385716.062,2065.325,1936.741,1.087,12000,12000,12000,12000,34.199999999999996,20.5,0.05000000074505806,4.999999873689376e-05,8.516213,-0.012304749,8.528387,-0.20418625,0.002605792,8.433794,0.0
-289.0252307800599,-528.2745418404644,-395.6677937364108,1000.0,4,2,16000,0,16000,False,16,4,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-50-54,1642452654,3.6524546146392822,15.018279075622559,381942,alfabotek,192.168.1.103,15.018279075622559,0,4,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701, -360.81814440514347, -474.0425795256754, -289.0252307800599, -357.51470103126167, -382.140940172458, -393.845589511087, -528.2745418404644, -424.41217952175043]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.05578342616606921,0.6016870678522099,0.06832223960221512,0.09722457309042398,0.0,4313.835,927.249,0.233,17137094.995,2045.725,1955.297,1.085,16000,16000,16000,16000,34.8,20.5,0.02500000037252903,4.999999873689376e-05,10.347623,-0.008482303,10.356019,-0.27741766,0.0033842532,8.48792,0.0
-289.0252307800599,-528.2745418404644,-382.2815898633816,1000.0,4,2,20000,0,20000,False,20,5,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-50-58,1642452658,3.7147531509399414,18.7330322265625,381942,alfabotek,192.168.1.103,18.7330322265625,0,5,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701, -360.81814440514347, -474.0425795256754, -289.0252307800599, -357.51470103126167, -382.140940172458, -393.845589511087, -528.2745418404644, -424.41217952175043, -315.784088730039, -306.53420933749413, -369.3079239995468, -323.3208754179805]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.05582372704631677,0.6014518346421924,0.06841734245017547,0.09734463369936482,0.0,4196.688,953.133,0.226,17671388.245,2032.849,1967.682,1.067,20000,20000,20000,20000,35.02,20.5,0.012500000186264515,4.999999873689376e-05,8.221629,-0.011985793,8.233577,-0.19110513,0.0030865946,8.420726,0.0
-257.30053867418997,-528.2745418404644,-375.0657103437373,1000.0,4,2,24000,0,24000,False,24,6,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-51-02,1642452662,3.603039026260376,22.336071252822876,381942,alfabotek,192.168.1.103,22.336071252822876,0,6,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701, -360.81814440514347, -474.0425795256754, -289.0252307800599, -357.51470103126167, -382.140940172458, -393.845589511087, -528.2745418404644, -424.41217952175043, -315.784088730039, -306.53420933749413, -369.3079239995468, -323.3208754179805, -257.30053867418997, -369.4166455698634, -348.35622585227935, -380.8718408857282]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.05581194676788398,0.6008612144073985,0.0684513107555275,0.09738876517161883,0.0,4103.816,974.703,0.23,17409771.013,2019.275,1980.909,1.07,24000,24000,24000,24000,34.7,20.5,0.0062500000931322575,4.999999873689376e-05,9.369583,-0.013627059,9.383193,-0.14428863,0.002721757,8.447455,0.0
-257.30053867418997,-528.2745418404644,-370.9389732600956,1000.0,4,2,28000,0,28000,False,28,7,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-51-05,1642452665,3.790182590484619,26.126253843307495,381942,alfabotek,192.168.1.103,26.126253843307495,0,7,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701, -360.81814440514347, -474.0425795256754, -289.0252307800599, -357.51470103126167, -382.140940172458, -393.845589511087, -528.2745418404644, -424.41217952175043, -315.784088730039, -306.53420933749413, -369.3079239995468, -323.3208754179805, -257.30053867418997, -369.4166455698634, -348.35622585227935, -380.8718408857282, -318.5285870121045, -277.4769931847793, -500.09081440436904, -288.61780843172903]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.05587301187919125,0.6010522384540267,0.06855889043623346,0.09752279865761297,0.0,4051.967,987.175,0.23,17401172.322,2017.722,1982.434,1.074,28000,28000,28000,28000,35.53333333333333,20.583333333333332,0.0031250000465661287,4.999999873689376e-05,9.688189,-0.019800782,9.70798,-0.16196457,0.002979454,8.431081,0.0
-242.82657973773075,-528.2745418404644,-361.06647336096336,1000.0,4,2,32000,0,32000,False,32,8,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-51-09,1642452669,3.665344715118408,29.791598558425903,381942,alfabotek,192.168.1.103,29.791598558425903,0,8,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701, -360.81814440514347, -474.0425795256754, -289.0252307800599, -357.51470103126167, -382.140940172458, -393.845589511087, -528.2745418404644, -424.41217952175043, -315.784088730039, -306.53420933749413, -369.3079239995468, -323.3208754179805, -257.30053867418997, -369.4166455698634, -348.35622585227935, -380.8718408857282, -318.5285870121045, -277.4769931847793, -500.09081440436904, -288.61780843172903, -389.74480905811606, -264.8005266175366, -270.46398085476693, -242.82657973773075]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.05591634229938007,0.6011522675658016,0.0686442718993458,0.09762283270664834,0.0,4009.202,997.705,0.23,17369966.093,2011.822,1988.248,1.066,32000,32000,32000,32000,35.56,20.6,0.0015625000232830644,4.999999873689376e-05,6.0168285,-0.01638963,6.0332136,-0.14338632,0.003090742,8.328131,0.0
-242.82657973773075,-528.2745418404644,-357.95719311324734,1000.0,4,2,36000,0,36000,False,36,9,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-51-13,1642452673,3.74682354927063,33.53842210769653,381942,alfabotek,192.168.1.103,33.53842210769653,0,9,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701, -360.81814440514347, -474.0425795256754, -289.0252307800599, -357.51470103126167, -382.140940172458, -393.845589511087, -528.2745418404644, -424.41217952175043, -315.784088730039, -306.53420933749413, -369.3079239995468, -323.3208754179805, -257.30053867418997, -369.4166455698634, -348.35622585227935, -380.8718408857282, -318.5285870121045, -277.4769931847793, -500.09081440436904, -288.61780843172903, -389.74480905811606, -264.8005266175366, -270.46398085476693, -242.82657973773075, -288.863995741806, -354.66655037167936, -293.535348083314, -395.26591032927644]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.05595454084230649,0.601197191660929,0.06871651620537343,0.09770029451629826,0.0,3972.416,1006.944,0.229,17443963.031,2015.506,1984.613,1.069,36000,36000,36000,36000,38.58,20.52,0.0007812500116415322,4.999999873689376e-05,4.257282,-0.023793116,4.2810726,0.0686561,0.0030133466,8.25971,0.0
-242.82657973773075,-528.2745418404644,-359.25776116237074,1000.0,4,2,40000,0,40000,False,40,10,default,f4f01df051ea491da737aeadd462545e,2022-01-17_21-51-17,1642452677,3.7326366901397705,37.271058797836304,381942,alfabotek,192.168.1.103,37.271058797836304,0,10,"[-348.55962936085257, -342.37246203220417, -382.41367553940887, -428.4825400780181, -373.58756518011836, -381.6996123513961, -357.7218244877042, -505.7734839649701, -360.81814440514347, -474.0425795256754, -289.0252307800599, -357.51470103126167, -382.140940172458, -393.845589511087, -528.2745418404644, -424.41217952175043, -315.784088730039, -306.53420933749413, -369.3079239995468, -323.3208754179805, -257.30053867418997, -369.4166455698634, -348.35622585227935, -380.8718408857282, -318.5285870121045, -277.4769931847793, -500.09081440436904, -288.61780843172903, -389.74480905811606, -264.8005266175366, -270.46398085476693, -242.82657973773075, -288.863995741806, -354.66655037167936, -293.535348083314, -395.26591032927644, -280.830820166068, -446.2195445922125, -412.3046599722728, -344.4964696873753]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.05600344665472029,0.6014321768036119,0.06879504033330422,0.09779364263572671,0.0,3955.743,1011.188,0.229,17492666.041,2011.808,1988.261,1.083,40000,40000,40000,40000,37.78333333333333,20.549999999999997,0.0003906250058207661,4.999999873689376e-05,8.51471,-0.021437543,8.536146,0.004421449,0.0031452691,8.31219,0.0
