Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-681.9193	28.51413	-639.0472	-719.0732	1000.0	-0.020346088	1.2932063	3.0206532	-3.2253587	4000	-2.8172508e-08	181.3663	-0.022274021	-99.14891	5.4857206	0.021636158	0.12674999	3.0	1.875838279724121
1	-675.5098	75.926056	-592.7744	-772.0047	1000.0	-5.643695	4.1918545	6.137946	-14.840728	8000	5.9604645e-08	69.62148	-0.017600387	-41.270817	5.518566	0.023777615	0.113000005	4.0	3.3862342834472656
2	-580.9159	136.96378	-368.1252	-747.6266	1000.0	-9.66154	4.1355863	9.907431	-16.560146	12000	2.2351742e-08	26.66742	-0.022085583	-4.3877015	5.4581656	0.025004175	0.1605	4.0	4.867474794387817
3	-436.43307	99.90657	-335.2355	-589.1964	1000.0	-9.001027	4.9417214	9.432783	-17.407108	16000	-5.5879354e-09	29.972906	-0.018330764	-8.01959	5.524112	0.024942363	0.13175	4.0	6.3419201374053955
4	-475.22507	135.34444	-343.06384	-652.05664	1000.0	-8.429885	4.399057	8.692473	-15.01269	20000	4.0978193e-08	22.071585	-0.014594524	-4.234021	5.490937	0.022938555	0.135	4.0	7.834646224975586
5	-364.1917	52.08109	-313.65045	-450.7751	1000.0	-6.2139034	3.8925323	8.59107	-14.497531	24000	-3.3527613e-08	27.081768	-0.015347857	-4.8622813	5.4599247	0.02553423	0.1465	4.0	9.309174299240112
6	-372.12042	83.96586	-235.3558	-462.8524	1000.0	-7.2417393	5.186978	11.223045	-15.813546	28000	1.3038516e-08	27.233513	-0.016658379	-7.0723834	5.4827824	0.026382875	0.20449999	5.0	10.803340911865234
7	-296.47644	59.992016	-225.49928	-379.91928	1000.0	-4.80755	4.5750566	13.197396	-16.062021	32000	4.0978193e-08	25.262243	-0.015693642	-3.8560753	5.496894	0.02179841	0.113000005	5.0	12.323724508285522
8	-296.78018	170.78323	-51.511772	-521.9036	1000.0	-5.138043	5.3171673	11.163714	-15.72527	36000	1.1175871e-08	21.471832	-0.01776566	-3.145136	5.4426355	0.021729892	0.14675	5.0	13.759634017944336
9	-288.66443	93.35938	-167.06508	-428.39938	1000.0	-6.058542	4.8990445	9.043301	-16.628122	40000	0.0	23.426317	-0.01652715	-9.382421	5.427712	0.025129622	0.121	5.0	15.235472440719604
10	-359.51923	104.947235	-186.40543	-466.2232	1000.0	-4.210228	4.9209876	13.3877	-15.198808	44000	0.0	41.562157	-0.01370126	-22.022501	5.4776144	0.021635482	0.10975	5.0	16.92072892189026
11	-346.8479	78.8542	-230.54031	-434.17703	1000.0	-6.437283	4.1044693	13.42801	-17.880884	48000	-7.450581e-09	16.963564	-0.018323606	-3.6722999	5.4736066	0.027610641	0.17	5.0	18.399550914764404
12	-348.6711	91.99231	-221.12494	-469.91	1000.0	-5.5182347	4.3878307	13.037198	-17.019712	52000	6.519258e-09	15.325447	-0.016419083	-2.7751412	5.4419537	0.024587767	0.1355	4.0	19.89513635635376
13	-230.80971	96.745415	-125.08141	-330.01175	1000.0	-4.273431	5.3006268	13.7268	-15.976174	56000	9.313226e-09	17.027327	-0.012566786	-2.89023	5.423061	0.02113271	0.124749996	6.0	21.420801401138306
14	-186.89375	146.7769	29.904476	-375.18085	1000.0	-3.3779166	5.1045785	13.465314	-17.165094	60000	5.5879354e-09	18.426924	-0.01628468	-2.8691483	5.449261	0.022437733	0.13575	5.0	22.91195821762085
15	-226.24496	100.91039	-91.71197	-351.26053	1000.0	-4.025024	5.1197734	13.486591	-18.068697	64000	3.7252903e-09	15.447269	-0.012786971	-2.4371958	5.406583	0.021271434	0.14925	6.0	24.392568349838257
16	-111.05854	92.36095	33.93314	-212.38007	1000.0	-2.0146985	5.5751333	14.384203	-15.850587	68000	-1.4901161e-08	16.32318	-0.019904938	-2.8529463	5.396924	0.023407549	0.15525	6.0	25.846674919128418
17	-299.06018	27.342512	-257.14578	-330.15155	1000.0	-6.0183487	4.30424	11.7704735	-13.860193	72000	5.5879354e-09	14.7369585	-0.018412342	-5.1241317	5.3814845	0.020046603	0.16874999	7.0	27.355329990386963
